PCC7942_PG_locus,PCC7942_NCBI-alias,PCC7942_alias,PCC7942_start,PCC7942_end,PCC7942_strand,gene_name,Annotation_description,Additional description,PCC7942_essentiality,PCC7942_regulatory_region_essentiality,PCC7942_uninterupted_upstream_length,cyano_conserved,greencut2_conserved,Notes on PG Annotation
SE_662,SYNPCC7942_RS03265,Synpcc7942_0636,626925,627170,Reverse,secE,protein translocase subunit secE/sec61 gamma,,essential,essential,102,no,no,
SE_663,SYNPCC7942_RS03270,Synpcc7942_0637,627275,629962,Reverse,clpB,ATP-dependent Clp protease ATP-binding subunit ClpB,,essential,non-essential,5,no,no,
SE_664,SYNPCC7942_RS03275,Synpcc7942_0638,630050,630463,Reverse,gloA,lactoylglutathione lyase,,non-essential,,,no,no,
SE_665,SYNPCC7942_RS03280,Synpcc7942_0639,630677,631969,Forward,eno,enolase,,essential,non-essential,10,yes,no,
SE_666,SYNPCC7942_RS03285,Synpcc7942_0640,632225,633991,Forward,,"ATP-binding cassette, subfamily B",,non-essential,,,yes,no,
SE_667,SYNPCC7942_RS03290,Synpcc7942_0641,634089,635996,Reverse,sdhA,succinate dehydrogenase subunit A,,non-essential,,,no,no,
SE_668,SYNPCC7942_RS03295,Synpcc7942_0642,636125,636670,Reverse,prxQ,peroxiredoxin,,non-essential,,,yes,no,"UTEX 2973 annotation added to reflect consensus of cyanobacteria annotations; using evidence from conserved domain BLAST search, O'Shea transcript data (transcript 316) and PCC 7942 RNAseq data"
SE_669,SYNPCC7942_RS03300,Synpcc7942_0643,636762,636965,Forward,,copper chaperone/heavy metal transporter,,non-essential,,,no,no,UTEX 3055 annotation added to reflect consensus of cyanobacteria annotations; evidence from PCC 7942 RNAseq data
SE_670,SYNPCC7942_RS03305,Synpcc7942_0644,637075,639339,Forward,cikA,GAF domain protein,,non-essential,,,no,no,
SE_671,SYNPCC7942_RS03310,(Synpcc7942_0645),639457,640758,Forward,hemL,"glutamate-1-semialdehyde 2,1-aminomutase",,essential,non-essential,9,yes,no,
SE_672,SYNPCC7942_RS03315,Synpcc7942_0646,640765,640992,Forward,,hypothetical protein,,non-essential,,,no,no,UTEX 2973 annotation changed to reflect consensus of cyanobacteria annotations
SE_673,SYNPCC7942_RS03320,Synpcc7942_0647,641196,641738,Forward,,Lipoprotein-anchoring transpeptidase ErfK/SrfK,,non-essential,,,no,no,
SE_674,SYNPCC7942_RS13685,Synpcc7942_0648,641843,642694,Forward,,trypsin-like peptidase domain-containing protein,,non-essential,,,no,no,
SE_675,SYNPCC7942_RS03325,Synpcc7942_0649,642767,643966,Reverse,rpoD1,RNA polymerase sigma factor RpoD,,essential,non-essential,26,yes,no,"UTEX 3055 annotation adjusted to reflect consensus of cyanobacteria annotations; evidence from conserved domain BLAST results, O'Shea transcript data (transcript 1284) and PCC 7942 RNAseq data"
SE_676,SYNPCC7942_RS03330,Synpcc7942_0650,644174,644659,Reverse,nat,GNAT family N-acetyltransferase,,non-essential,,,no,no,
SE_677,SYNPCC7942_RS03335,Synpcc7942_0651,644741,647161,Forward,priA,primosome assembly protein PriA,,essential,non-essential,0,yes,no,
SE_678,SYNPCC7942_RS03340,Synpcc7942_0652,647124,648713,Reverse,,FAD-binding oxidoreductase,,non-essential,,,no,no,
SE_679,SYNPCC7942_RS03345,Synpcc7942_0653,648710,649441,Reverse,cdv1,peptidylprolyl isomerase,,essential,non-essential,0,no,no,
SE_680,SYNPCC7942_RS03350,Synpcc7942_0654,649443,650009,Reverse,ycf4,photosystem I assembly protein,,essential,non-essential,2,yes,no,
SE_681,SYNPCC7942_RS03355,Synpcc7942_0655,650232,651290,Forward,psbDI,Photosystem II D2 protein,,not_analyzed,,,no,no,
SE_682,SYNPCC7942_RS03360,Synpcc7942_0656,651274,652659,Forward,psbC,Photosystem II reaction center protein,,essential,non-essential,0,yes,no,
SE_683,SYNPCC7942_RS03365,Synpcc7942_0657,653047,653388,Reverse,,protein of unknown function (DUF1815),,essential,non-essential,7,no,no,
SE_684,SYNPCC7942_RS03370,Synpcc7942_0658,653558,653770,Reverse,,Protein of unknown function (DUF2839),This bacterial family of unknown function appear to be restricted to Cyanobacteria.,non-essential,,,yes,no,
SE_685,SYNPCC7942_RS03375,(Synpcc7942_0659),653854,655359,Reverse,,ATP-dependent DNA helicase DinG,,non-essential,,,yes,no,UTEX 3055 annotation changed to reflect consensus of cyanobacteria annotations
SE_686,SYNPCC7942_RS03380,(Synpcc7942_0660),655417,656253,Forward,tyrA,arogenate dehydrogenase (NADP),,ambiguous,,,yes,no,
SE_687,SYNPCC7942_RS03385,Synpcc7942_0661,656270,657874,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_688,SYNPCC7942_RS03390,Synpcc7942_0662,657943,658857,Forward,,FecR family protein,,non-essential,,,no,no,
SE_689,SYNPCC7942_RS03395,Synpcc7942_0663,658977,660875,Forward,cya2,adenylate/guanylate cyclase,,non-essential,,,no,no,
SE_690,SYNPCC7942_RS03400,Synpcc7942_0664,660875,662224,Forward,,Cyclic nucleotide-binding domain-containing protein,,non-essential,,,no,no,
SE_691,SYNPCC7942_RS03405,Synpcc7942_0665,662232,662978,Reverse,,creatinase,,non-essential,,,no,no,
SE_692,SYNPCC7942_RS03410,Synpcc7942_0666,663141,663761,Forward,,DnaJ domain-containing protein,,non-essential,,,no,no,
SE_693,SYNPCC7942_RS03415,Synpcc7942_0667,663985,664296,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_694,SYNPCC7942_RS03425,(Synpcc7942_0669),664525,665124,Forward,mpg,DNA-3-methyladenine glycosylase,,non-essential,,,no,no,
SE_695,,Synpcc7942_0670,665121,666137,Forward,pyrB,aspartate carbamoyltransferase,,essential,non-essential,0,yes,no,
SE_696,,Synpcc7942_0671,666156,666653,Forward,,small multidrug export protein,,non-essential,,,no,no,
SE_697,SYNPCC7942_RS03440,(Synpcc7942_0672),666869,667849,Forward,rpoD3,RNA polymerase sigma factor SigA3,,non-essential,,,no,no,"UTEX 2973 and UTEX 3055 annotations added to reflect consensus of cyanobacteria annotations; evidence from conserved domain BLAST results, O'Shea transcript data (transcript 1272) and PCC 7942 RNAseq data"
SE_698,,Synpcc7942_0673,667849,668931,Forward,mutT,A/G-specific DNA-adenine glycosylase,,non-essential,,,no,no,
SE_699,SYNPCC7942_RS03450,(Synpcc7942_0674),669272,670300,Forward,hemF,coproporphyrinogen oxidase,,essential,essential,69,no,no,
SE_700,,Synpcc7942_0675,670297,670818,Reverse,,CCB1 domain-containing protein,,non-essential,,,yes,yes,
SE_701,,Synpcc7942_0676,670914,672119,Forward,,hypothetical protein,,essential,non-essential,0,no,no,
SE_702,,Synpcc7942_0677,672082,672462,Reverse,pex,PadR family transcriptional regulator,,non-essential,,,no,no,
SE_703,,Synpcc7942_0678,672767,673402,Forward,rnd,ribonuclease D,,non-essential,,,yes,no,
SE_704,SYNPCC7942_RS03475,Synpcc7942_R0038,673441,673512,Forward,,tRNA-Val,,,,,,,
SE_705,,Synpcc7942_0679,673785,674108,Forward,rbp1,RNA-binding protein RbpA,,non-essential,,,no,yes,
SE_706,,Synpcc7942_0680,674334,675149,Forward,,sterol C5-desaturase,,non-essential,,,no,no,
SE_707,,Synpcc7942_0681,675164,675862,Reverse,ispD,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,,essential,non-essential,0,yes,no,
SE_708,,Synpcc7942_0682,675946,676905,Forward,,glycosyltransferase family 9 protein,,essential,non-essential,22,no,no,
SE_709,,Synpcc7942_0683,676942,677967,Forward,,potassium channel protein,,non-essential,,,no,no,
SE_710,,Synpcc7942_0684,678025,678774,Forward,fabG,3-ketoacyl-ACP reductase,,essential,non-essential,11,yes,yes,
SE_711,,Synpcc7942_0685,678881,680548,Forward,groEL,molecular chaperone GroEL,,non-essential,,,no,no,
SE_712,SYNPCC7942_RS03515,,680767,680967,Forward,,hypothetical protein,,,,,,,
SE_713,SYNPCC7942_RS03520,Synpcc7942_0686,680978,682138,Forward,,FO synthase subunit 2,,non-essential,,,no,no,
SE_714,SYNPCC7942_RS03525,Synpcc7942_0687,682128,683747,Forward,,Protein of unknown function (DUF3352),,non-essential,,,no,no,
SE_715,SYNPCC7942_RS03530,Synpcc7942_0688,683722,684060,Forward,,ArsR family transcriptional regulator,,non-essential,,,no,no,
SE_716,SYNPCC7942_RS03535,Synpcc7942_0689,684051,684884,Reverse,,CPBP family intramembrane metalloprotease,,essential,non-essential,17,no,no,
SE_717,SYNPCC7942_RS03540,Synpcc7942_0690,684868,685155,Reverse,clpS,ATP-dependent Clp protease adaptor protein ClpS,,non-essential,,,yes,no,
SE_718,SYNPCC7942_RS13620,Synpcc7942_0691,685290,685634,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_719,SYNPCC7942_RS03550,Synpcc7942_0692,685631,686185,Reverse,,Alpha/beta hydrolase,,non-essential,,,no,no,
SE_720,SYNPCC7942_RS03555,(Synpcc7942_0693),686247,687032,Reverse,,HAD family hydrolase,,non-essential,,,no,no,
SE_721,SYNPCC7942_RS03560,Synpcc7942_0694,687133,688056,Reverse,rps1,30S ribosomal protein S1,,essential,essential,179,yes,yes,
SE_722,SYNPCC7942_RS03565,Synpcc7942_0695,688334,688840,Reverse,,NrdR family transcriptional regulator,,non-essential,,,no,no,
SE_723,SYNPCC7942_RS03570,Synpcc7942_0696,689050,689145,Reverse,psbT,photosystem II reaction center protein T,,ambiguous,,,no,no,
SE_724,SYNPCC7942_RS03575,Synpcc7942_0697,689222,690748,Reverse,psbB,Photosystem II CP47 chlorophyll apoprotein,,essential,essential,82,yes,no,
SE_725,SYNPCC7942_RS03580,Synpcc7942_0698,691085,691519,Forward,,ferredoxin,,non-essential,,,no,yes,
SE_726,SYNPCC7942_RS03585,Synpcc7942_0699,691619,691726,Forward,psbM,photosystem II reaction center protein M,,essential,non-essential,7,no,no,
SE_727,SYNPCC7942_RS03590,(Synpcc7942_0700),691824,692657,Reverse,,"Nucleotide-binding universal stress protein, UspA family",,non-essential,,,no,no,
SE_728,SYNPCC7942_RS03595,Synpcc7942_0701,692799,693260,Forward,,acyl-CoA thioester hydrolase,,non-essential,,,no,no,
SE_729,SYNPCC7942_RS03600,Synpcc7942_0702,693257,694045,Forward,,SAM-dependent chlorinase/fluorinase,,non-essential,,,no,no,
SE_730,SYNPCC7942_RS03605,Synpcc7942_0703,694072,695280,Forward,smf,DNA processing protein,,non-essential,,,no,no,
SE_731,SYNPCC7942_RS03610,Synpcc7942_0704,695313,695948,Forward,act,Vat family streptogramin A O-acetyltransferase,,non-essential,,,no,no,"UTEX 2973 annotation added to reflect consensus of cyanobacteria annotations;  evidence from conserved domain BLAST results, O'Shea transcript data (transcript 53) and PCC 7942 RNAseq data"
SE_732,SYNPCC7942_RS03615,Synpcc7942_0705,695935,696570,Forward,,Transglutaminase-like superfamily protein,,non-essential,,,no,no,"UTEX 2973 annotation added to reflect consensus of cyanobacteria annotations;  evidence from conserved domain BLAST results, O'Shea transcript data (transcript 53) and PCC 7942 RNAseq data"
SE_733,SYNPCC7942_RS03620,Synpcc7942_0706,696577,697191,Reverse,cobL,precorrin-6B methylase,,non-essential,,,no,no,
SE_734,SYNPCC7942_RS03625,Synpcc7942_0707,697172,698641,Reverse,cad,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,,beneficial,,,yes,no,
SE_735,SYNPCC7942_RS03630,Synpcc7942_0708,698708,700459,Forward,,AarF/ABC1/UbiB kinase family protein,,non-essential,,,no,no,"UTEX 2973 annotation added to reflect consensus of cyanobacteria annotations;  evidence from conserved domain BLAST results, O'Shea transcript data (transcript 1093) and PCC 7942 RNAseq data"
SE_736,SYNPCC7942_RS03635,Synpcc7942_0709,700511,700840,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_737,SYNPCC7942_RS03640,(Synpcc7942_0710),700843,701481,Reverse,,Protein of unknown function (DUF3318),,essential,non-essential,5,no,no,
SE_738,SYNPCC7942_RS03645,Synpcc7942_0711,701604,704897,Forward,carB,carbamoyl phosphate synthase large subunit,,essential,non-essential,28,yes,no,
SE_739,SYNPCC7942_RS03650,Synpcc7942_0712,705073,706350,Reverse,,S41 family peptidase ,,beneficial,,,yes,no,
SE_740,SYNPCC7942_RS03655,Synpcc7942_0713,706450,707673,Reverse,ispG,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase,,essential,non-essential,4,yes,no,
SE_741,SYNPCC7942_RS03660,Synpcc7942_0714,707744,709450,Reverse,amiA,N-acetylmuramoyl-L-alanine amidase,,non-essential,,,no,no,
SE_742,SYNPCC7942_RS03665,Synpcc7942_R0039,709609,709692,Reverse,,tRNA-Leu,,,essential,59,,,
SE_743,SYNPCC7942_RS03670,Synpcc7942_0715,709992,711179,Forward,murZ,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,,essential,essential,120,yes,no,UTEX 3055 annotation adjusted to reflect consensus of cyanobacteria annotations; evidence from O'Shea transcript data and PCC 7942 RNAseq data
SE_744,SYNPCC7942_RS03675,Synpcc7942_R0040,711226,711312,Forward,,tRNA-Leu,,,,,,,
SE_745,SYNPCC7942_RS03680,Synpcc7942_0716,711446,712546,Forward,,tyrosine-type recombinase/integrase,,non-essential,,,no,no,
SE_746,SYNPCC7942_RS03695,Synpcc7942_0717,713127,713651,Reverse,dcd,dCTP deamise,,non-essential,,,no,no,
SE_747,SYNPCC7942_RS03700,Synpcc7942_0718,713678,714331,Reverse,,hypothetical protein,,non-essential,,,no,no,
SE_748,SYNPCC7942_RS03705,Synpcc7942_0719,714328,714831,Reverse,,hypothetical protein,,non-essential,,,no,no,
SE_749,SYNPCC7942_RS03715,Synpcc7942_0720,715051,715389,Reverse,,hypothetical protein,,non-essential,,,no,no,
SE_750,SYNPCC7942_RS03725,Synpcc7942_0721,715592,715882,Reverse,,hypothetical protein,,non-essential,,,no,no,
SE_751,SYNPCC7942_RS03730,Synpcc7942_0722,715943,717025,Reverse,,hypothetical protein,"RecT family; The DNA single-strand annealing proteins (SSAPs), such as RecT, Red-beta, ERF and Rad52, function in RecA-dependent and RecA-independent DNA recombination pathways. This family includes proteins related to RecT.",non-essential,,,no,no,
SE_752,SYNPCC7942_RS03740,(Synpcc7942_0723),717322,718005,Reverse,,hypothetical protein,,essential,essential,40,no,no,
SE_753,SYNPCC7942_RS03745,Synpcc7942_0724,718004,718447,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_754,SYNPCC7942_RS03750,Synpcc7942_0725,718666,720075,Forward,,DEAD/DEAH box helicase-like protein,,non-essential,,,no,no,
SE_755,SYNPCC7942_RS03755,Synpcc7942_0726,720068,720430,Forward,,VRR-NUC domain-containing protein,"VRR-NUC domain-containing protein similar to Fanconi-associated nuclease 1, which is involved in repairing highly toxic DNA lesions that are produced by DNA interstrand cross-links",non-essential,,,no,no,
SE_756,SYNPCC7942_RS03760,Synpcc7942_0727,720423,722966,Forward,,hypothetical protein,"Zinc-binding domain of primase-helicase; Uncharacterized domain associated with phage/plasmid primase [Mobilome: prophages, transposons]; The actual alignment was detected with superfamily member COG4643:",non-essential,,,no,no,
SE_757,SYNPCC7942_RS03765,Synpcc7942_0728,723236,723781,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_758,SYNPCC7942_RS03770,Synpcc7942_0729,723806,724411,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_759,SYNPCC7942_RS03775,Synpcc7942_0730,724626,725165,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_760,SYNPCC7942_RS03780,Synpcc7942_0731,725474,727354,Forward,,phage terminase large subunit,"Phage terminase large subunit (GpA); This family consists of several phage terminase large subunit proteins as well as related sequences from several bacterial species. The DNA packaging enzyme of bacteriophage lambda, terminase, is a heteromultimer composed of a small subunit, gpNu1, and a large subunit, gpA, products of the Nu1 and A genes, respectively. Terminase is involved in the site-specific binding and cutting of the DNA in the initial stages of packaging. It is now known that gpA is actively involved in late stages of packaging, including DNA translocation, and that this enzyme contains separate functional domains for its early and late packaging activities.",non-essential,,,no,no,
SE_761,SYNPCC7942_RS03785,Synpcc7942_0732,727482,727691,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_762,SYNPCC7942_RS03790,Synpcc7942_0733,727691,729154,Forward,,"Phage portal protein, lambda",,non-essential,,,no,no,
SE_763,SYNPCC7942_RS03795,Synpcc7942_0734,729177,731051,Forward,,hypothetical protein,"Mu-like prophage major head subunit gpT; Members of this family of proteins comprise various caudoviral prophage proteins, including the Mu-like prophage major head subunit gpT.",non-essential,,,no,no,
SE_764,SYNPCC7942_RS03800,Synpcc7942_0735,731099,731428,Forward,,DUF2190 family protein,"Uncharacterized conserved protein (DUF2190); This domain, found in various hypothetical prokaryotic proteins, as well as in some putative RecA/RadA recombinases, has no known function.",non-essential,,,no,no,
SE_765,SYNPCC7942_RS03805,Synpcc7942_0736,731434,731745,Forward,,electron transfer protein,,non-essential,,,no,no,
SE_766,SYNPCC7942_RS03810,Synpcc7942_0737,731738,732376,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_767,SYNPCC7942_RS03815,,732373,732729,Forward,,hypothetical protein,,,,,,,UTEX 2973 annotation adjusted to reflect consensus of cyanobacteria annotations; evidence from O'Shea transcript data and PCC 7942 RNAseq data
SE_768,SYNPCC7942_RS13625,Synpcc7942_0738,732710,733270,Forward,,Phage baseplate assembly protein V,,non-essential,,,no,no,
SE_769,SYNPCC7942_RS03825,ORF01999,733267,733536,Forward,,PaaR membrane protein,,,,,,,
SE_770,SYNPCC7942_RS03830,Synpcc7942_0739,733536,733880,Forward,,phage baseplate protein,,non-essential,,,no,no,
SE_771,SYNPCC7942_RS03835,Synpcc7942_0740,733877,734716,Forward,,GPJ of phage P2-like protein,,non-essential,,,no,no,
SE_772,SYNPCC7942_RS03840,Synpcc7942_0741,734713,735552,Forward,,Phage tail protein I,,non-essential,,,no,no,
SE_773,SYNPCC7942_RS03845,Synpcc7942_0742,735651,736136,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_774,SYNPCC7942_RS03850,Synpcc7942_0743,736140,738155,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_775,SYNPCC7942_RS03855,Synpcc7942_0744,738159,739610,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_776,SYNPCC7942_RS03860,Synpcc7942_0745,739615,740778,Forward,,phage tail protein ,"Phage Tail Collar Domain; This region is occasionally found in conjunction with pfam03335. Most of the family appear to be phage tail proteins; however some appear to be involved in other processes. For instance a member from Rhizobium leguminosarum may be involved in plant-microbe interactions. A related protein MrpB is involved in the pathogenicity of Microcystis aeruginosa. The finding of this family in a structural component of the phage tail fibre baseplate suggests that its function is structural rather than enzymatic. Structural studies show this region consists of a helix and a loop and three beta-strands. This alignment does not catch the third strand as it is separated from the rest of the structure by around 100 residues. This strand is conserved in homologs but the intervening sequence is not. Much of the function of phage T4 appears to reside in this intervening region. In the tertiary structure of the phage baseplate this domain forms part of the 'collar'. The domain may bind SO4, however the residues accredited with this vary between the PDB file and the Swiss-Prot entry. The long unconserved region maybe due to domain swapping in and out of a loop or reflective of rapid evolution.",non-essential,,,no,no,
SE_777,SYNPCC7942_RS03865,Synpcc7942_0746,740782,741288,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_778,SYNPCC7942_RS03870,Synpcc7942_0747,741396,742820,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_779,SYNPCC7942_RS03875,Synpcc7942_0748,742817,743320,Forward,,Phage major tail tube protein,,non-essential,,,no,no,
SE_780,SYNPCC7942_RS03880,Synpcc7942_0749,743324,743614,Forward,,phage tail assembly protein,"Phage tail assembly chaperone proteins, E, or 41 or 14; This is family of various Myoviridae bacteriophage tail assembly chaperone, or TAC, proteins.",non-essential,,,no,no,
SE_781,SYNPCC7942_RS03885,Synpcc7942_0750,743738,746590,Forward,,"Phage tail tape measure protein TP901, core region",,non-essential,,,no,no,
SE_782,SYNPCC7942_RS03890,Synpcc7942_0751,746590,747510,Forward,,phage tail protein ,"This family consists of several bacterial and phage proteins of around 130 residues in length which seem to be related to the bacteriophage P2 GpU protein, which is thought to be involved in tail assembly.",non-essential,,,no,no,
SE_783,SYNPCC7942_RS03895,Synpcc7942_0752,747510,747722,Forward,,phage tail protein ,Phage Tail Protein X; This domain is found in a family of phage tail proteins.,non-essential,,,no,no,
SE_784,SYNPCC7942_RS03900,Synpcc7942_0753,747719,749161,Forward,,phage late control gene D protein GPD,,non-essential,,,no,no,
SE_785,SYNPCC7942_RS03905,Synpcc7942_0754,749183,749431,Reverse,,hypothetical protein,,non-essential,,,no,no,
SE_786,SYNPCC7942_RS03910,Synpcc7942_0755,749431,750009,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_787,SYNPCC7942_RS03920,Synpcc7942_0756,750406,750870,Forward,,"chain A, D20c mutant of T4 lysozyme",,non-essential,,,no,no,
SE_788,SYNPCC7942_RS03925,(Synpcc7942_0757),751142,751957,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_789,SYNPCC7942_RS13690,Synpcc7942_0758,751959,752381,Forward,,DUG488 domain containing protein,,essential,non-essential,1,no,no,"UTEX 2973 annotation added to reflect consensus of cyanobacteria annotations;  evidence from conserved domain BLAST results, O'Shea transcript data and PCC 7942 RNAseq data"
SE_790,SYNPCC7942_RS03930,Synpcc7942_0759,752574,753953,Forward,,hypothetical protein,,essential,essential,43,no,no,
SE_791,SYNPCC7942_RS03935,Synpcc7942_0760,753963,754553,Forward,,hypothetical protein,"Superfamily of nucleases including Short Patch Repair (Vsr) Endonucleases, archaeal Holliday junction resolvases, MutH methy-directed DNA mismatch-repair endonucleases, and catalytic domains of many restriction endonucleases, such as EcoRI, BamHI, and FokI",non-essential,,,no,no,
SE_792,SYNPCC7942_RS03940,Synpcc7942_0761,754779,755507,Reverse,,hypothetical protein,,non-essential,,,no,no,
SE_793,SYNPCC7942_RS03950,Synpcc7942_0762,756010,756561,Reverse,,SocA family protein,"DUF4065 domain-containing protein similar to Caulobacter vibrioides antitoxin SocA, a component of an atypical type II toxin-antitoxin (TA) system",essential,non-essential,2,no,no,
SE_794,SYNPCC7942_RS03955,(Synpcc7942_0763),756989,757387,Reverse,,HTH transcriptional regulator,Helix-turn-helix XRE-family like proteins. Prokaryotic DNA binding proteins belonging to the xenobiotic response element family of transcriptional regulators.,non-essential,,,no,no,UTEX 2973 annotation added to reflect consensus of cyanobacteria annotations; O'Shea transcript data and PCC 7942 RNAseq data
SE_795,SYNPCC7942_RS03960,Synpcc7942_0764,757356,757595,Reverse,,HTH transcriptional regulator,,non-essential,,,no,no,
SE_796,SYNPCC7942_RS13695,ORF02027,757687,757905,Reverse,,HTH transcriptional regulator,Cro/C1-type HTH DNA-binding domain; This is a helix-turn-helix domain that probably binds to DNA.,,,,,,UTEX 2973 annotation adjusted to reflect consensus of cyanobacteria annotations; evidence from O'Shea transcript data and PCC 7942 RNAseq data
SE_797,SYNPCC7942_RS03965,(Synpcc7942_0765),758049,758327,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_798,SYNPCC7942_RS03970,Synpcc7942_0766,758390,759037,Forward,,DNA damage-inducible protein,,non-essential,,,no,no,
SE_799,SYNPCC7942_RS03975,(Synpcc7942_0767),759251,759847,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_800,SYNPCC7942_RS03985,Synpcc7942_0768,760522,761178,Forward,,Ubiquinone biosynthesis protein Coq4,,non-essential,,,no,no,
SE_801,SYNPCC7942_RS03990,Synpcc7942_0769,761226,762128,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_802,SYNPCC7942_RS03995,Synpcc7942_0770,762159,763643,Forward,,5'-nucleotidase,,non-essential,,,no,no,
SE_803,SYNPCC7942_RS04000,Synpcc7942_0771,763640,764854,Reverse,,glutathione S-transferase,,non-essential,,,no,no,
SE_804,SYNPCC7942_RS04005,Synpcc7942_0772,764984,765577,Reverse,,CpeT/CpcT family (DUF1001),"CpeT/CpcT family (DUF1001); This family consists of proteins of proteins belonging to the CpeT/CpcT family. These proteins are around 200 amino acids in length. The proteins contain a conserved motif PYR in the amino terminal half of the protein that may be functionally important. The species distribution of the family is interesting. So far it is restricted to cyanobacteria, cryptomonads and plants. It has been shown that CpcT encodes a bilin lyase responsible for attachment of phycocyanobilin to the beta subunit of phycocyanin.",non-essential,,,no,no,
SE_805,SYNPCC7942_RS04010,(Synpcc7942_0773),765592,766140,Reverse,ycf52,GNAT family N-acetyltransferase,,non-essential,,,no,yes,
SE_806,SYNPCC7942_RS04015,Synpcc7942_0774,766216,767103,Forward,,alpha/beta hydrolase,,non-essential,,,no,no,
SE_807,SYNPCC7942_RS04020,Synpcc7942_0775,767242,767721,Reverse,,divergent PAP2 family protein,,essential,non-essential,1,no,yes,
SE_808,SYNPCC7942_RS04025,Synpcc7942_0776,767721,768626,Reverse,crtE,farnesyl-diphosphate synthase,,essential,essential,42,yes,no,
SE_809,SYNPCC7942_RS04030,Synpcc7942_0777,768669,769538,Reverse,folD,"bifunctional 5,10-methylene-tetrahydrofolate dehydrogese/ 5,10-methylene-tetrahydrofolate cyclohydrolase",,essential,non-essential,1,yes,no,
SE_810,SYNPCC7942_RS04035,Synpcc7942_0778,769574,770038,Forward,,hypothetical protein,,essential,non-essential,5,no,no,UTEX 2973 annotation adjusted to reflect consensus of cyanobacteria annotations; evidence from O'Shea transcript data and PCC 7942 RNAseq data
SE_811,SYNPCC7942_RS04040,Synpcc7942_0779,770131,772593,Forward,,HDIG domain-containing protein,,beneficial,,,no,no,
SE_812,SYNPCC7942_RS04045,Synpcc7942_0780,772585,773958,Reverse,,serine/threonine protein kinase,,non-essential,,,no,no,
SE_813,SYNPCC7942_RS04050,Synpcc7942_0781,774004,776520,Reverse,ppsA,phosphoenolpyruvate synthase,,non-essential,,,no,yes,
SE_814,SYNPCC7942_RS04055,Synpcc7942_0782,776760,778556,Reverse,,"ATP-binding cassette, subfamily B",,non-essential,,,yes,no,
SE_815,SYNPCC7942_RS04060,Synpcc7942_0783,778589,779245,Reverse,hisG,ATP phosphoribosyltransferase (homohexameric),,essential,non-essential,4,yes,no,
SE_816,SYNPCC7942_RS13710,Synpcc7942_0784,779531,779848,Forward,,hypothetical protein,,non-essential,,,no,no,UTEX 2973 annotation added to reflect consensus of cyanobacteria annotations; evidence from O'Shea transcript data and PCC 7942 RNAseq data
SE_817,SYNPCC7942_RS04065,Synpcc7942_0785,779781,781919,Forward,ponA,penicillin-binding protein 1A,,non-essential,,,no,no,UTEX 2973 annotation added to reflect consensus of cyanobacteria annotations; evidence from conserved domain BLAST results
SE_818,SYNPCC7942_RS04070,Synpcc7942_0786,782076,782942,Forward,,hypothetical protein,,non-essential,,,no,no,
SE_819,SYNPCC7942_RS04075,Synpcc7942_0787,783007,783885,Forward,phoA,metallophosphoesterase,,non-essential,,,no,no,
SE_820,SYNPCC7942_RS04080,Synpcc7942_0788,783954,784748,Reverse,gst1,glutathione S-transferase,,non-essential,,,no,no,
SE_821,SYNPCC7942_RS04085,Synpcc7942_0789,784844,785167,Reverse,,hypothetical protein,,non-essential,,,no,no,
SE_822,SYNPCC7942_RS04090,Synpcc7942_0790,785282,785710,Reverse,rbp3,RNA-binding region RNP-1,,non-essential,,,no,no,
SE_823,SYNPCC7942_RS04095,Synpcc7942_0791,785973,787211,Reverse,pcnB,poly(A) polymerase/tRNA nucleotidyltransferase (CCA-adding enzyme),,essential,non-essential,2,yes,no,
SE_824,SYNPCC7942_RS04100,Synpcc7942_0792,787255,788490,Reverse,,"Predicted arabinose efflux permease, MFS family",,non-essential,,,no,no,
