,new_locus_tag,old_locus_tag,start,end,strand,ncbi_gene_name,gene_name,biocyc_gene_name,Deutschbauer_gene,gene_product_old,gene_product,Deutschbauer_product,KEGG_ko
717,SYNPCC7942_RS03645,Synpcc7942_0711,701604,704897,+,carB,carB,carB,carB,carbamoyl-phosphate synthase large subunit,"carbamoyl-phosphate synthase, large subunit",carbamoyl phosphate synthase large subunit,K01955
718,SYNPCC7942_RS03650,Synpcc7942_0712,705073,706350,-,SYNPCC7942_RS03650,SYNPCC7942_0712,SYNPCC7942_0712,,S41 family peptidase,C-terminal processing peptidase-2,SYNPCC7942_RS03650,K03797
719,SYNPCC7942_RS03655,Synpcc7942_0713,706450,707673,-,ispG,ispG,ispG,ispG,(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (ferredoxin),4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase,K03526
720,SYNPCC7942_RS03660,Synpcc7942_0714,707744,709450,-,SYNPCC7942_RS03660,amiA1,amiA1,,N-acetylmuramoyl-L-alanine amidase,N-acetylmuramoyl-L-alanine amidase,SYNPCC7942_RS03660,K01448
721,SYNPCC7942_RS03670,Synpcc7942_0715,709923,711179,+,murA,murZ,murZ,murZ,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,K00790
722,SYNPCC7942_RS03680,Synpcc7942_0716,711503,712546,+,SYNPCC7942_RS03680,SYNPCC7942_0716,SYNPCC7942_0716,,tyrosine-type recombinase/integrase,conserved hypothetical protein,SYNPCC7942_RS03680,
723,SYNPCC7942_RS03685,,712522,712740,-,SYNPCC7942_RS03685,SYNPCC7942_RS03685,SYNPCC7942_RS03685,,hypothetical protein,SYNPCC7942_RS03685,SYNPCC7942_RS03685,
724,SYNPCC7942_RS03695,Synpcc7942_0717,713127,713651,-,SYNPCC7942_RS03695,dcd1,dcd1,,dCTP deaminase,Deoxycytidine triphosphate deaminase,SYNPCC7942_RS03695,
725,SYNPCC7942_RS03700,Synpcc7942_0718,713678,714331,-,SYNPCC7942_RS03700,SYNPCC7942_0718,SYNPCC7942_0718,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS03700,
726,SYNPCC7942_RS03705,Synpcc7942_0719,714328,714831,-,SYNPCC7942_RS03705,SYNPCC7942_0719,SYNPCC7942_0719,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS03705,
727,SYNPCC7942_RS03710,,714824,715054,-,SYNPCC7942_RS03710,SYNPCC7942_RS03710,SYNPCC7942_RS03710,,hypothetical protein,SYNPCC7942_RS03710,SYNPCC7942_RS03710,
728,SYNPCC7942_RS03715,Synpcc7942_0720,715051,715389,-,SYNPCC7942_RS03715,SYNPCC7942_0720,SYNPCC7942_0720,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS03715,
729,SYNPCC7942_RS03720,,715386,715589,-,SYNPCC7942_RS03720,SYNPCC7942_RS03720,SYNPCC7942_RS03720,,hypothetical protein,SYNPCC7942_RS03720,SYNPCC7942_RS03720,
730,SYNPCC7942_RS03725,Synpcc7942_0721,715592,715882,-,SYNPCC7942_RS03725,SYNPCC7942_0721,SYNPCC7942_0721,,hypothetical protein,hypothetical protein,SYNPCC7942_RS03725,
731,SYNPCC7942_RS03730,Synpcc7942_0722,715943,717025,-,SYNPCC7942_RS03730,SYNPCC7942_0722,SYNPCC7942_0722,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS03730,
732,SYNPCC7942_RS03735,,717138,717386,+,SYNPCC7942_RS03735,SYNPCC7942_RS03735,SYNPCC7942_RS03735,,hypothetical protein,SYNPCC7942_RS03735,SYNPCC7942_RS03735,
733,SYNPCC7942_RS03745,Synpcc7942_0724,718004,718447,+,SYNPCC7942_RS03745,SYNPCC7942_0724,SYNPCC7942_0724,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS03745,
734,SYNPCC7942_RS03750,Synpcc7942_0725,718666,720075,+,SYNPCC7942_RS03750,SYNPCC7942_0725,SYNPCC7942_0725,,DEAD/DEAH box helicase family protein,"DNA/RNA helicase, DEAD/DEAH box type",SYNPCC7942_RS03750,
735,SYNPCC7942_RS03755,Synpcc7942_0726,720068,720430,+,SYNPCC7942_RS03755,SYNPCC7942_0726,SYNPCC7942_0726,,VRR-NUC domain-containing protein,conserved hypothetical protein,SYNPCC7942_RS03755,
736,SYNPCC7942_RS03760,Synpcc7942_0727,720423,722966,+,SYNPCC7942_RS03760,SYNPCC7942_0727,SYNPCC7942_0727,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS03760,K06919
737,SYNPCC7942_RS03765,Synpcc7942_0728,723236,723781,+,SYNPCC7942_RS03765,SYNPCC7942_0728,SYNPCC7942_0728,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS03765,
738,SYNPCC7942_RS03770,Synpcc7942_0729,723806,724411,+,SYNPCC7942_RS03770,SYNPCC7942_0729,SYNPCC7942_0729,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS03770,
739,SYNPCC7942_RS03775,Synpcc7942_0730,724626,725165,+,SYNPCC7942_RS03775,SYNPCC7942_0730,SYNPCC7942_0730,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS03775,
740,SYNPCC7942_RS03780,Synpcc7942_0731,725474,727354,+,SYNPCC7942_RS03780,SYNPCC7942_0731,SYNPCC7942_0731,,phage terminase large subunit family protein,putative phage terminase large subunit,SYNPCC7942_RS03780,
741,SYNPCC7942_RS03785,Synpcc7942_0732,727482,727691,+,SYNPCC7942_RS03785,SYNPCC7942_0732,SYNPCC7942_0732,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS03785,
742,SYNPCC7942_RS03790,Synpcc7942_0733,727691,729154,+,SYNPCC7942_RS03790,SYNPCC7942_0733,SYNPCC7942_0733,,phage portal protein,"phage portal protein, lambda",SYNPCC7942_RS03790,
743,SYNPCC7942_RS03795,Synpcc7942_0734,729177,731051,+,SYNPCC7942_RS03795,SYNPCC7942_0734,SYNPCC7942_0734,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS03795,
744,SYNPCC7942_RS03800,Synpcc7942_0735,731099,731428,+,SYNPCC7942_RS03800,SYNPCC7942_0735,SYNPCC7942_0735,,DUF2190 family protein,conserved hypothetical protein,SYNPCC7942_RS03800,
745,SYNPCC7942_RS03805,Synpcc7942_0736,731434,731745,+,SYNPCC7942_RS03805,SYNPCC7942_0736,SYNPCC7942_0736,,hypothetical protein,electron transfer protein,SYNPCC7942_RS03805,
746,SYNPCC7942_RS03810,Synpcc7942_0737,731717,732376,+,SYNPCC7942_RS03810,SYNPCC7942_0737,SYNPCC7942_0737,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS03810,
747,SYNPCC7942_RS03815,,732373,732729,+,SYNPCC7942_RS03815,SYNPCC7942_RS03815,SYNPCC7942_RS03815,,hypothetical protein,SYNPCC7942_RS03815,SYNPCC7942_RS03815,
748,SYNPCC7942_RS13625,Synpcc7942_0738,732710,733270,+,SYNPCC7942_RS13625,GpV,GpV,,phage baseplate assembly protein V,phage baseplate assembly protein V,SYNPCC7942_RS13625,
749,SYNPCC7942_RS03825,,733285,733536,+,SYNPCC7942_RS03825,SYNPCC7942_RS03825,SYNPCC7942_RS03825,,PAAR domain-containing protein,SYNPCC7942_RS03825,SYNPCC7942_RS03825,
750,SYNPCC7942_RS03830,Synpcc7942_0739,733536,733880,+,SYNPCC7942_RS03830,SYNPCC7942_0739,SYNPCC7942_0739,,phage baseplate protein,conserved hypothetical protein,SYNPCC7942_RS03830,
751,SYNPCC7942_RS03835,Synpcc7942_0740,733877,734716,+,SYNPCC7942_RS03835,SYNPCC7942_0740,SYNPCC7942_0740,,hypothetical protein,phage P2 protein GPJ,SYNPCC7942_RS03835,
752,SYNPCC7942_RS03840,Synpcc7942_0741,734713,735552,+,SYNPCC7942_RS03840,SYNPCC7942_0741,SYNPCC7942_0741,,phage tail protein,phage tail protein I,SYNPCC7942_RS03840,
753,SYNPCC7942_RS03845,Synpcc7942_0742,735651,736136,+,SYNPCC7942_RS03845,SYNPCC7942_0742,SYNPCC7942_0742,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS03845,
754,SYNPCC7942_RS03850,Synpcc7942_0743,736140,738155,+,SYNPCC7942_RS03850,SYNPCC7942_0743,SYNPCC7942_0743,,DUF4815 domain-containing protein,conserved hypothetical protein,SYNPCC7942_RS03850,
755,SYNPCC7942_RS03855,Synpcc7942_0744,738159,739610,+,SYNPCC7942_RS03855,SYNPCC7942_0744,SYNPCC7942_0744,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS03855,
756,SYNPCC7942_RS03860,Synpcc7942_0745,739615,740778,+,SYNPCC7942_RS03860,SYNPCC7942_0745,SYNPCC7942_0745,,phage tail protein,conserved hypothetical protein,SYNPCC7942_RS03860,
757,SYNPCC7942_RS03865,Synpcc7942_0746,740782,741288,+,SYNPCC7942_RS03865,SYNPCC7942_0746,SYNPCC7942_0746,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS03865,
758,SYNPCC7942_RS03870,Synpcc7942_0747,741396,742820,+,SYNPCC7942_RS03870,SYNPCC7942_0747,SYNPCC7942_0747,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS03870,K06907
759,SYNPCC7942_RS03875,Synpcc7942_0748,742817,743320,+,SYNPCC7942_RS03875,gpFII,gpFII,,phage major tail tube protein,phage major tail tube protein,SYNPCC7942_RS03875,
760,SYNPCC7942_RS03880,Synpcc7942_0749,743324,743614,+,SYNPCC7942_RS03880,SYNPCC7942_0749,SYNPCC7942_0749,,phage tail assembly protein,hypothetical protein,SYNPCC7942_RS03880,
761,SYNPCC7942_RS13935,,743611,743748,+,SYNPCC7942_RS13935,SYNPCC7942_RS13935,SYNPCC7942_RS13935,,hypothetical protein,SYNPCC7942_RS13935,SYNPCC7942_RS13935,
762,SYNPCC7942_RS03885,Synpcc7942_0750,743738,746590,+,SYNPCC7942_RS03885,tmp,tmp,,phage tail tape measure protein,"phage tail tape measure protein TP901, core region",SYNPCC7942_RS03885,
763,SYNPCC7942_RS03890,Synpcc7942_0751,746590,747510,+,SYNPCC7942_RS03890,SYNPCC7942_0751,SYNPCC7942_0751,,phage tail protein,conserved hypothetical protein,SYNPCC7942_RS03890,
764,SYNPCC7942_RS03895,Synpcc7942_0752,747510,747722,+,SYNPCC7942_RS03895,SYNPCC7942_0752,SYNPCC7942_0752,,phage tail protein,conserved hypothetical protein,SYNPCC7942_RS03895,
765,SYNPCC7942_RS03900,Synpcc7942_0753,747719,749161,+,SYNPCC7942_RS03900,gpD,gpD,,late control protein D,phage late control D protein GPD,SYNPCC7942_RS03900,
766,SYNPCC7942_RS03910,Synpcc7942_0755,749431,750009,+,SYNPCC7942_RS03910,SYNPCC7942_0755,SYNPCC7942_0755,,DUF882 domain-containing protein,conserved hypothetical protein,SYNPCC7942_RS03910,
767,SYNPCC7942_RS03915,,750009,750203,+,SYNPCC7942_RS03915,SYNPCC7942_RS03915,SYNPCC7942_RS03915,,hypothetical protein,SYNPCC7942_RS03915,SYNPCC7942_RS03915,
768,SYNPCC7942_RS13940,,750233,750409,+,SYNPCC7942_RS13940,SYNPCC7942_RS13940,SYNPCC7942_RS13940,,hypothetical protein,SYNPCC7942_RS13940,SYNPCC7942_RS13940,
769,SYNPCC7942_RS03920,Synpcc7942_0756,750406,750870,+,SYNPCC7942_RS03920,SYNPCC7942_0756,SYNPCC7942_0756,,chain A%2C D20c mutant of T4 lysozyme,lysozyme,SYNPCC7942_RS03920,
770,SYNPCC7942_RS03925,,751142,751957,+,SYNPCC7942_RS03925,SYNPCC7942_RS03925,SYNPCC7942_RS03925,,hypothetical protein,SYNPCC7942_RS03925,SYNPCC7942_RS03925,
771,SYNPCC7942_RS13690,Synpcc7942_0758,751959,752381,+,SYNPCC7942_RS13690,SYNPCC7942_RS13690,SYNPCC7942_RS13690,,DUF488 domain-containing protein,SYNPCC7942_RS13690,hypothetical protein,
772,SYNPCC7942_RS03930,Synpcc7942_0759,752574,753953,+,SYNPCC7942_RS03930,SYNPCC7942_0759,SYNPCC7942_0759,,hypothetical protein,hypothetical protein,hypothetical protein,
773,SYNPCC7942_RS03935,Synpcc7942_0760,753963,754553,+,SYNPCC7942_RS03935,SYNPCC7942_0760,SYNPCC7942_0760,,hypothetical protein,hypothetical protein,hypothetical protein,
774,SYNPCC7942_RS03940,Synpcc7942_0761,754779,755507,-,SYNPCC7942_RS03940,SYNPCC7942_0761,SYNPCC7942_0761,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS03940,
775,SYNPCC7942_RS03950,Synpcc7942_0762,756010,756561,-,SYNPCC7942_RS03950,SYNPCC7942_0762,SYNPCC7942_0762,,SocA family protein,conserved hypothetical protein,hypothetical protein,
776,SYNPCC7942_RS03955,,756989,757387,-,SYNPCC7942_RS03955,SYNPCC7942_RS03955,SYNPCC7942_RS03955,,helix-turn-helix transcriptional regulator,SYNPCC7942_RS03955,SYNPCC7942_RS03955,
777,SYNPCC7942_RS03960,Synpcc7942_0764,757356,757595,-,SYNPCC7942_RS03960,SYNPCC7942_0764,SYNPCC7942_0764,,helix-turn-helix transcriptional regulator,"transcriptional regulator, XRE family",SYNPCC7942_RS03960,
778,SYNPCC7942_RS13695,,757687,757905,-,SYNPCC7942_RS13695,SYNPCC7942_RS13695,SYNPCC7942_RS13695,,helix-turn-helix transcriptional regulator,SYNPCC7942_RS13695,SYNPCC7942_RS13695,
779,SYNPCC7942_RS03965,,758049,758327,+,SYNPCC7942_RS03965,SYNPCC7942_RS03965,SYNPCC7942_RS03965,,hypothetical protein,SYNPCC7942_RS03965,SYNPCC7942_RS03965,
780,SYNPCC7942_RS03970,Synpcc7942_0766,758390,759037,+,SYNPCC7942_RS03970,dinD,dinD,,DNA damage-inducible protein,DNA-damage-inducible protein,SYNPCC7942_RS03970,K14623
781,SYNPCC7942_RS13700,,759048,759254,+,SYNPCC7942_RS13700,SYNPCC7942_RS13700,SYNPCC7942_RS13700,,hypothetical protein,SYNPCC7942_RS13700,SYNPCC7942_RS13700,
782,SYNPCC7942_RS03975,,759413,759847,+,SYNPCC7942_RS03975,SYNPCC7942_RS03975,SYNPCC7942_RS03975,,hypothetical protein,SYNPCC7942_RS03975,SYNPCC7942_RS03975,
783,SYNPCC7942_RS13950,,759963,760139,+,SYNPCC7942_RS13950,SYNPCC7942_RS13950,SYNPCC7942_RS13950,,hypothetical protein,SYNPCC7942_RS13950,SYNPCC7942_RS13950,
784,SYNPCC7942_RS13955,,760250,760447,+,SYNPCC7942_RS13955,SYNPCC7942_RS13955,SYNPCC7942_RS13955,,hypothetical protein,SYNPCC7942_RS13955,SYNPCC7942_RS13955,
785,SYNPCC7942_RS03985,Synpcc7942_0768,760486,761178,+,SYNPCC7942_RS03985,SYNPCC7942_0768,SYNPCC7942_0768,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS03985,
786,SYNPCC7942_RS03990,Synpcc7942_0769,761226,762128,+,SYNPCC7942_RS03990,SYNPCC7942_0769,SYNPCC7942_0769,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS03990,
787,SYNPCC7942_RS03995,Synpcc7942_0770,762159,763643,+,SYNPCC7942_RS03995,SYNPCC7942_0770,SYNPCC7942_0770,,bifunctional metallophosphatase/5'-nucleotidase,conserved hypothetical protein,SYNPCC7942_RS03995,
788,SYNPCC7942_RS04000,Synpcc7942_0771,763640,764854,-,SYNPCC7942_RS04000,SYNPCC7942_0771,SYNPCC7942_0771,,glutathione S-transferase family protein,conserved hypothetical protein,SYNPCC7942_RS04000,K00799
789,SYNPCC7942_RS04005,Synpcc7942_0772,764984,765577,-,SYNPCC7942_RS04005,SYNPCC7942_0772,SYNPCC7942_0772,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS04005,
790,SYNPCC7942_RS04010,Synpcc7942_0773,765592,766140,-,SYNPCC7942_RS04010,SYNPCC7942_0773,SYNPCC7942_0773,,GNAT family N-acetyltransferase,conserved hypothetical protein YCF52,SYNPCC7942_RS04010,
791,SYNPCC7942_RS04015,Synpcc7942_0774,766216,767103,+,SYNPCC7942_RS04015,SYNPCC7942_0774,SYNPCC7942_0774,,alpha/beta hydrolase,esterase,SYNPCC7942_RS04015,K08680
792,SYNPCC7942_RS04020,Synpcc7942_0775,767242,767721,-,SYNPCC7942_RS04020,SYNPCC7942_0775,SYNPCC7942_0775,,divergent PAP2 family protein,conserved hypothetical protein,hypothetical protein,K09775
793,SYNPCC7942_RS04025,Synpcc7942_0776,767721,768626,-,SYNPCC7942_RS04025,crtE,crtE,crtE,polyprenyl synthetase family protein,geranylgeranyl pyrophosphate synthase,farnesyl-diphosphate synthase,K13789
794,SYNPCC7942_RS04030,Synpcc7942_0777,768669,769538,-,folD,folD,folD,folD,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD,Methylenetetrahydrofolate dehydrogenase (NADP+),Methenyltetrahydrofolate cyclohydrolase,K01491
795,SYNPCC7942_RS04035,Synpcc7942_0778,769574,770038,+,SYNPCC7942_RS04035,SYNPCC7942_0778,SYNPCC7942_0778,,hypothetical protein,hypothetical protein,SYNPCC7942_RS04035,
796,SYNPCC7942_RS04040,Synpcc7942_0779,770044,772593,+,SYNPCC7942_RS04040,SYNPCC7942_0779,SYNPCC7942_0779,,HDIG domain-containing protein,metal dependent phosphohydrolase,SYNPCC7942_RS04040,K07037
797,SYNPCC7942_RS04045,Synpcc7942_0780,772585,773958,-,SYNPCC7942_RS04045,SYNPCC7942_0780,SYNPCC7942_0780,,serine/threonine protein kinase,serine/threonine protein kinase,SYNPCC7942_RS04045,
798,SYNPCC7942_RS04050,Synpcc7942_0781,774004,776520,-,ppsA,ppsA,ppsA,,phosphoenolpyruvate synthase,phosphoenolpyruvate synthase,SYNPCC7942_RS04050,K01007
799,SYNPCC7942_RS04055,Synpcc7942_0782,776760,778556,-,SYNPCC7942_RS04055,SYNPCC7942_0782,SYNPCC7942_0782,,ABC transporter ATP-binding protein,ATPase,SYNPCC7942_RS04055,K18890
800,SYNPCC7942_RS04060,Synpcc7942_0783,778589,779245,-,SYNPCC7942_RS04060,hisG,hisG,hisG,ATP phosphoribosyltransferase,ATP phosphoribosyltransferase,ATP phosphoribosyltransferase catalytic subunit,K00765
801,SYNPCC7942_RS13710,Synpcc7942_0784,779531,779848,+,SYNPCC7942_RS13710,SYNPCC7942_RS13710,SYNPCC7942_RS13710,,hypothetical protein,SYNPCC7942_RS13710,SYNPCC7942_RS13710,
802,SYNPCC7942_RS04065,Synpcc7942_0785,779778,781919,+,SYNPCC7942_RS04065,mrcA2,mrcA2,,PBP1A family penicillin-binding protein,Penicillin-binding protein 1A,SYNPCC7942_RS04065,K05366
803,SYNPCC7942_RS04070,Synpcc7942_0786,782076,782942,+,SYNPCC7942_RS04070,SYNPCC7942_0786,SYNPCC7942_0786,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS04070,
804,SYNPCC7942_RS04075,Synpcc7942_0787,783007,783885,+,SYNPCC7942_RS04075,SYNPCC7942_0787,SYNPCC7942_0787,,purple acid phosphatase,putative purple acid phosphatase,SYNPCC7942_RS04075,
805,SYNPCC7942_RS04080,Synpcc7942_0788,783954,784748,-,SYNPCC7942_RS04080,gst1,gst1,,glutathione S-transferase family protein,glutathione S-transferase,SYNPCC7942_RS04080,K00799
806,SYNPCC7942_RS04085,Synpcc7942_0789,784844,785167,-,SYNPCC7942_RS04085,SYNPCC7942_0789,SYNPCC7942_0789,,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS04085,
807,SYNPCC7942_RS04090,Synpcc7942_0790,785282,785710,-,SYNPCC7942_RS04090,rbp3,rbp3,,RNA-binding region RNP-1,RNA-binding region RNP-1,SYNPCC7942_RS04090,
808,SYNPCC7942_RS04095,Synpcc7942_0791,785973,787211,-,SYNPCC7942_RS04095,pcnB,pcnB,pcnB,CCA tRNA nucleotidyltransferase,polyA polymerase,polyA polymerase,"K00970,ko:K00974"
809,SYNPCC7942_RS04100,Synpcc7942_0792,787255,788490,-,SYNPCC7942_RS04100,SYNPCC7942_0792,SYNPCC7942_0792,SYNPCC7942_RS04100,MFS transporter,putative multidrug efflux MFS transporter,SYNPCC7942_RS04100,
810,SYNPCC7942_RS04105,Synpcc7942_0793,788593,789261,-,SYNPCC7942_RS04105,SYNPCC7942_0793,SYNPCC7942_0793,SYNPCC7942_RS04105,PspA/IM30 family protein,conserved hypothetical protein,SYNPCC7942_RS04105,K03969
811,SYNPCC7942_RS04110,Synpcc7942_0794,789460,790233,-,SYNPCC7942_RS04110,SYNPCC7942_0794,SYNPCC7942_0794,,PspA/IM30 family protein,membrane-associated 30 kD protein-like,membrane-associated 30 kD protein-like,K03969
812,SYNPCC7942_RS04115,Synpcc7942_0795,790436,791047,-,SYNPCC7942_RS04115,SYNPCC7942_0795,SYNPCC7942_0795,SYNPCC7942_RS04115,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS04115,
813,SYNPCC7942_RS04120,Synpcc7942_0796,791175,791720,+,SYNPCC7942_RS04120,SYNPCC7942_0796,SYNPCC7942_0796,,DUF721 domain-containing protein,conserved hypothetical protein,hypothetical protein,
814,SYNPCC7942_RS04125,Synpcc7942_0797,792010,792270,+,SYNPCC7942_RS04125,SYNPCC7942_0797,SYNPCC7942_0797,SYNPCC7942_RS04125,hypothetical protein,hypothetical protein,SYNPCC7942_RS04125,
815,SYNPCC7942_RS04130,Synpcc7942_0798,792319,792804,-,ruvC,ruvC,ruvC,SYNPCC7942_RS04130,crossover junction endodeoxyribonuclease RuvC,crossover junction endodeoxyribonuclease RuvC,SYNPCC7942_RS04130,K01159
816,SYNPCC7942_RS04135,Synpcc7942_0799,792810,794384,-,SYNPCC7942_RS04135,SYNPCC7942_0799,SYNPCC7942_0799,,B12-binding domain-containing radical SAM protein,Elongator protein 3,Elongator protein 3,
817,SYNPCC7942_RS04140,Synpcc7942_0800,794455,795048,-,SYNPCC7942_RS04140,cpcT,cpcT,SYNPCC7942_RS04140,chorismate-binding protein,conserved hypothetical protein,SYNPCC7942_RS04140,
818,SYNPCC7942_RS04145,Synpcc7942_0801,795207,795812,+,SYNPCC7942_RS04145,sodB,sodB,SYNPCC7942_RS04145,superoxide dismutase,superoxide dismutase,SYNPCC7942_RS04145,K04564
819,SYNPCC7942_RS04150,Synpcc7942_0802,795836,796504,+,SYNPCC7942_RS04150,SYNPCC7942_0802,SYNPCC7942_0802,SYNPCC7942_RS04150,hypothetical protein,allophycocyanin alpha chain-like,SYNPCC7942_RS04150,
820,SYNPCC7942_RS04155,Synpcc7942_0803,796507,797289,-,SYNPCC7942_RS04155,SYNPCC7942_0803,SYNPCC7942_0803,SYNPCC7942_RS04155,ABC transporter permease,conserved hypothetical protein,SYNPCC7942_RS04155,K01992
821,SYNPCC7942_RS04160,Synpcc7942_0804,797288,798349,+,pdxA,pdxA,pdxA,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase PdxA,4-hydroxythreonine-4-phosphate dehydrogenase,4-hydroxythreonine-4-phosphate dehydrogenase,K00097
822,SYNPCC7942_RS04165,Synpcc7942_0805,798349,799095,+,SYNPCC7942_RS04165,SYNPCC7942_0805,SYNPCC7942_0805,SYNPCC7942_RS04165,MBL fold metallo-hydrolase,conserved hypothetical protein,SYNPCC7942_RS04165,
823,SYNPCC7942_RS04170,Synpcc7942_0806,799095,799826,+,SYNPCC7942_RS04170,SYNPCC7942_0806,SYNPCC7942_0806,SYNPCC7942_RS04170,16S rRNA (uracil(1498)-N(3))-methyltransferase,conserved hypothetical protein,SYNPCC7942_RS04170,K09761
824,SYNPCC7942_RS04175,Synpcc7942_0807,799840,800679,+,SYNPCC7942_RS04175,SYNPCC7942_0807,SYNPCC7942_0807,SYNPCC7942_RS04175,Rpn family recombination-promoting nuclease/putative transposase,conserved hypothetical protein,SYNPCC7942_RS04175,
825,SYNPCC7942_RS04180,Synpcc7942_0808,800851,802980,-,SYNPCC7942_RS04180,spsA,spsA,SYNPCC7942_RS04180,HAD-IIB family hydrolase,sucrose phosphate synthase,SYNPCC7942_RS04180,K00696
826,SYNPCC7942_RS04185,Synpcc7942_0809,803199,804815,+,SYNPCC7942_RS04185,SYNPCC7942_0809,SYNPCC7942_0809,SYNPCC7942_RS04185,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS04185,
827,SYNPCC7942_RS04190,Synpcc7942_0810,804853,805086,+,SYNPCC7942_RS04190,SYNPCC7942_0810,SYNPCC7942_0810,SYNPCC7942_RS04190,hypothetical protein,hypothetical protein,SYNPCC7942_RS04190,
828,SYNPCC7942_RS04195,Synpcc7942_0811,805186,806769,+,SYNPCC7942_RS04195,SYNPCC7942_0811,SYNPCC7942_0811,SYNPCC7942_RS04195,sodium:proton antiporter,Na+/H+ antiporter,SYNPCC7942_RS04195,K03316
829,SYNPCC7942_RS04200,Synpcc7942_0812,806893,807813,+,SYNPCC7942_RS04200,SYNPCC7942_0812,SYNPCC7942_0812,SYNPCC7942_RS04200,J domain-containing protein,Heat shock protein DnaJ-like,SYNPCC7942_RS04200,
830,SYNPCC7942_RS04205,Synpcc7942_0813,807839,809101,+,SYNPCC7942_RS04205,hisS2,hisS2,hisS,ATP phosphoribosyltransferase regulatory subunit,"histidyl-tRNA synthetase 2, putative",ATP phosphoribosyltransferase regulatory subunit,K02502
831,SYNPCC7942_RS04210,Synpcc7942_0814,809134,809358,+,SYNPCC7942_RS04210,petF1,petF1,,ferredoxin family protein,ferredoxin-like protein,ferredoxin-like protein,
832,SYNPCC7942_RS04215,Synpcc7942_0815,809365,810096,+,SYNPCC7942_RS04215,SYNPCC7942_0815,SYNPCC7942_0815,SYNPCC7942_RS04215,ABC transporter ATP-binding protein,ATPase,SYNPCC7942_RS04215,"K01996,ko:K11958"
833,SYNPCC7942_RS04220,Synpcc7942_0816,810181,812226,-,SYNPCC7942_RS04220,SYNPCC7942_RS04220,SYNPCC7942_RS04220,SYNPCC7942_RS04220,EAL domain-containing protein,SYNPCC7942_RS04220,SYNPCC7942_RS04220,
834,SYNPCC7942_RS04225,Synpcc7942_0817,812331,812723,-,SYNPCC7942_RS04225,SYNPCC7942_0817,SYNPCC7942_0817,SYNPCC7942_RS04225,transcriptional repressor,"putative ferric uptake regulator, FUR family",SYNPCC7942_RS04225,K03711
835,SYNPCC7942_RS04230,Synpcc7942_0818,812955,813224,+,purS,purS,purS,purS,phosphoribosylformylglycinamidine synthase subunit PurS,Phosphoribosylformylglycinamidine synthetase PurS,phosphoribosylformylglycinamidine synthase subunit PurS,K01952
836,SYNPCC7942_RS04235,Synpcc7942_0819,813221,813886,+,purQ,purQ,purQ,purL,phosphoribosylformylglycinamidine synthase subunit PurQ,phosphoribosylformylglycinamidine synthase I,phosphoribosylformylglycinamidine synthase subunit I,K01952
837,SYNPCC7942_RS04240,Synpcc7942_0820,813960,814394,+,SYNPCC7942_RS04240,SYNPCC7942_0820,SYNPCC7942_0820,SYNPCC7942_RS04240,hypothetical protein,conserved hypothetical protein,SYNPCC7942_RS04240,
838,SYNPCC7942_RS04245,Synpcc7942_0821,814476,816077,+,SYNPCC7942_RS04245,ddpA,ddpA,SYNPCC7942_RS04245,peptide ABC transporter substrate-binding protein,"oligopeptide ABC type transporter, periplasmic oligopeptide-binding subunit",SYNPCC7942_RS04245,K02035
