locus_tag,old_locus_tag,new_annot,gene_name,new_product,cycbio_gene_name,cycbio_gene_product,COG,uniprot,start,end,strand,operon,accession
SYNPCC7942_RS01510,Synpcc7942_0296,SE_307,SE_307,caspase family protein,SYNPCC7942_0296,conserved hypothetical protein,Function unknown,UPI0002FE2AEE,292726,294765,+,,
SYNPCC7942_RS01515,Synpcc7942_0297,SE_308,ftsH,cell division protein FtsH,ftsH1,ATP-dependent metalloprotease FtsH,"Post-translational modification, protein turnover,and chaperones",A0A0H3K8T9,294872,296713,+,,
SYNPCC7942_RS01520,Synpcc7942_0298,SE_309,SE_309,rod shape-determining protein MreD,SYNPCC7942_0298,hypothetical protein,Cell wall/membrane/envelope biogenesis,A0A0H3K327,296980,297663,-,,
SYNPCC7942_RS01525,Synpcc7942_0299,SE_310,mreC,rod shape-determining protein MreC,mreC,rod shape-determining protein MreC,Cell wall/membrane/envelope biogenesis,A0A0H3K5H5,297624,298373,-,,
SYNPCC7942_RS01530,Synpcc7942_0300,SE_311,mreB,rod shape-determining protein MreB,MreB,"cell shape determining protein, MreB/Mrl family","Cell cycle control, cell division, chromosome partitioning",Q31RI7,298398,299435,-,,
SYNPCC7942_RS01535,Synpcc7942_0301,SE_312,ssb,single-stranded DNA-binding protein,ssb,single-strand binding protein,"Replication, recombination and repair",Q31RI6,299628,299990,+,,
SYNPCC7942_RS01540,Synpcc7942_0302,SE_313,SE_313,competence protein ComE,cls,Phospholipase D/Transphosphatidylase,Lipid transport and metabolism,UPI00003A0683,300008,301594,-,,
SYNPCC7942_RS01545,Synpcc7942_0303,SE_314,SE_314,potassium transporter TrkA,SYNPCC7942_0303,response regulator receiver domain protein (CheY-like),Inorganic ion transport and metabolism,A0A0H3K322,301609,302697,+,,
SYNPCC7942_RS01550,Synpcc7942_0304,SE_315,SE_315,hypothetical protein,SYNPCC7942_0304,conserved hypothetical protein,Coenzyme transport and metabolism,A0A0H3K5H2,302833,303480,+,,
SYNPCC7942_RS01555,Synpcc7942_0305,SE_316,SE_316,addiction module component,SYNPCC7942_0305,hypothetical protein,Function unknown,Q31RI2,303815,304045,+,,
SYNPCC7942_RS01560,,SE_317,chlP,type II toxin-antitoxin system RelE/ParE family toxin,SYNPCC7942_RS01560,SYNPCC7942_RS01560,"Cell cycle control, cell division, chromosome partitioning",UPI000046010C,304042,304332,+,,
SYNPCC7942_RS01565,Synpcc7942_0307,SE_318,napA,sodium proton antiporter,SYNPCC7942_0307,Na+/H+ antiporter,Inorganic ion transport and metabolism,Q8VPV2,304710,305936,-,,
SYNPCC7942_RS01570,Synpcc7942_0308,SE_319,chpX,CO2 hydration protein,cupB,CO2 hydration protein,Energy production and conversion,A0A0H3K8S7,305969,307108,-,,
SYNPCC7942_RS01575,Synpcc7942_0309,SE_320,ndhF4,NAD(P)H-quinone oxidoreductase subunit 5,ndhF4,"NAD(P)H dehydrogenase, subunit NdhF4",Energy production and conversion,Q8VPV4,307139,309043,-,,
SYNPCC7942_RS01580,Synpcc7942_0310,SE_321,ispE,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,ispE,4-diphosphocytidyl-2C-methyl-D-erythritol kinase,Nucleotide transport and metabolism,Q31RH7,309473,310417,-,,
SYNPCC7942_RS01585,Synpcc7942_0311,SE_322,ksgA,dimethyladenosine transferase,ksgA,dimethyladenosine transferase,"Translation, ribosomal structure and biogenesis",Q31RH6,310414,311253,-,,
SYNPCC7942_RS01590,Synpcc7942_0312,SE_323,SE_323,putative endonuclease,SYNPCC7942_0312,Protein of unknown function UPF0102,"Replication, recombination and repair",Q31RH5,311280,311708,-,,
SYNPCC7942_RS01595,Synpcc7942_0313,SE_324,SE_324,Pentapeptide repeat-containing protein,SYNPCC7942_0313,conserved hypothetical protein,Function unknown,A0A0H3K2C7,311762,312274,+,,
SYNPCC7942_RS01600,Synpcc7942_0314,SE_325,SE_325,succinate dehydrogenase subunit C,sdhC,succinate dehydrogenase subunit C,Energy production and conversion,A0A0H3K2C9,312403,313032,-,,
SYNPCC7942_RS01605,Synpcc7942_0315,SE_326,purB,adenylosuccinate lyase,purB,adenylosuccinate lyase,Nucleotide transport and metabolism,Q31RH2,313079,314374,-,,
SYNPCC7942_RS01610,Synpcc7942_0316,SE_327,digD,hypothetical protein,SYNPCC7942_0316,conserved hypothetical protein,No COG annotation,A0A0H3K313,314432,314623,-,,
SYNPCC7942_RS01615,Synpcc7942_0317,SE_328,SE_328,hypothetical protein,SYNPCC7942_0317,conserved hypothetical protein,No COG annotation,Q31RH0,314897,315355,+,,
SYNPCC7942_RS01620,Synpcc7942_0318,SE_329,SE_329,hypothetical protein,SYNPCC7942_0318,conserved hypothetical protein,No COG annotation,Q31RG9,315642,316097,+,,
SYNPCC7942_RS01625,Synpcc7942_0319,SE_330,SE_330,TlyA family RNA methyltransferase/putative hemolysin,hlyA,hemolysin A,"Translation, ribosomal structure and biogenesis",A0A0H3K2C4,316162,316980,+,,
SYNPCC7942_RS01630,Synpcc7942_0320,SE_331,galE,UDP-galactose-4-epimerase,galE,UDP-glucose 4-epimerase,Cell wall/membrane/envelope biogenesis,A0A0H3K8R3,317010,318008,+,,
SYNPCC7942_RS01635,Synpcc7942_0321,SE_332,glnB,nitrogen regulatory protein P-II family,glnB,nitrogen regulatory protein P-II,Transcription,P0A3F4,318147,318485,-,,
SYNPCC7942_RS01640,Synpcc7942_0322,SE_333,ycf44,cytochrome C biogenesis protein CcsB,resB,c-type cytochrome biogenesis protein,"Post-translational modification, protein turnover,and chaperones",Q31RG5,318679,320049,-,,
SYNPCC7942_RS01645,Synpcc7942_0323,SE_334,ccdA,cytochrome C biogenesis protein,CcdA,cytochrome c biogenesis protein,"Post-translational modification, protein turnover,and chaperones",Q31RG4,320046,320804,-,,
SYNPCC7942_RS01650,Synpcc7942_0324,SE_335,ftsW,cell division protein FtsW,ftsW1,cell division protein FtsW,"Cell cycle control, cell division, chromosome partitioning",Q31RG3,320824,322008,-,,
SYNPCC7942_RS01655,Synpcc7942_0325,SE_336,apcC,phycobilisome core linker protein,apcC,Lc 7.8 apoprotein (core components of the phycobilisomes),Function unknown,UPI0000132BBB,322093,322296,-,,
SYNPCC7942_RS01660,Synpcc7942_0326,SE_337,apcB,allophycocyanin beta subunit apoprotein,SYNPCC7942_RS01660,SYNPCC7942_RS01660,Energy production and conversion,P06113,322388,322873,-,,
SYNPCC7942_RS01665,Synpcc7942_0327,SE_338,apcA,allophycocyanin alpha subunit apoprotein,SYNPCC7942_RS01665,SYNPCC7942_RS01665,Energy production and conversion,P06112,322930,323415,-,,
SYNPCC7942_RS01670,Synpcc7942_0328,SE_339,apcE,phycobilisome core-membrane linker protein,apcE,phycobilisome core-membrane linker polypeptide,Carbohydrate transport and metabolism,P28035,323781,325898,-,,
SYNPCC7942_RS01675,Synpcc7942_0329,SE_340,SE_340,methyltransferase domain-containing protein,SYNPCC7942_0329,conserved hypothetical protein,Coenzyme transport and metabolism,UPI0005850867,326161,327357,+,,
SYNPCC7942_RS01680,Synpcc7942_0330,SE_341,atp1,ATP synthase subunit I,SYNPCC7942_0330,hypothetical protein,Function unknown,UPI0005843132,327475,327900,+,,
SYNPCC7942_RS01685,Synpcc7942_0331,SE_342,atpI,ATP synthase F0F1 subunit A,atpB,"ATP synthase Fo, a subunit",Energy production and conversion,UPI0000460107,327956,328711,+,,
SYNPCC7942_RS01690,Synpcc7942_0332,SE_343,atpH,ATP F0F1 synthase subunit C,atpE,"ATP synthase Fo, c subunit",Energy production and conversion,P08445,328854,329099,+,,
SYNPCC7942_RS01695,Synpcc7942_0333,SE_344,atpG,ATP synthase F0F1 subunit B',SYNPCC7942_0333,"ATP synthase Fo, b' subunit",Energy production and conversion,P08446,329244,329720,+,,
SYNPCC7942_RS01700,Synpcc7942_0334,SE_345,atpF,ATP synthase F0F1 subunit B,atpF,"ATP synthase Fo, b subunit",Energy production and conversion,P08447,329764,330279,+,,
SYNPCC7942_RS01705,Synpcc7942_0335,SE_346,atpD,ATP synthase F0F1 subunit delta,SYNPCC7942_RS01705,SYNPCC7942_RS01705,Energy production and conversion,P08448,330289,330831,+,,
SYNPCC7942_RS01710,Synpcc7942_0336,SE_347,atpA,ATP F0F1 synthase subunit alpha,SYNPCC7942_RS01710,SYNPCC7942_RS01710,Nucleotide transport and metabolism,Q31RF1,330878,332395,+,,
SYNPCC7942_RS01715,Synpcc7942_0337,SE_348,atpC,ATP synthase F0F1 subunit gamma,SYNPCC7942_RS01715,SYNPCC7942_RS01715,Energy production and conversion,Q31RF0,332458,333408,+,,
SYNPCC7942_RS01720,Synpcc7942_0338,SE_349,petF,(2Fe-2S)-binding protein,SYNPCC7942_0338,Ferredoxin (2Fe-2S),Energy production and conversion,P08451,333517,333834,+,,
SYNPCC7942_RS01725,,SE_350,SE_350,hypothetical protein,SYNPCC7942_RS01725,SYNPCC7942_RS01725,No COG annotation,UPI00003A066B,333834,334013,+,,
SYNPCC7942_RS01730,Synpcc7942_0339,SE_351,SE_351,Protein of unknown function (DUF3326),SYNPCC7942_0339,conserved hypothetical protein,Function unknown,P08452,333995,335074,+,,
SYNPCC7942_RS01735,Synpcc7942_0340,SE_352,SE_352,CPBP family intramembrane metalloprotease,SYNPCC7942_0340,conserved hypothetical protein,Function unknown,A0A0H3K2B8,335071,335652,+,,
SYNPCC7942_RS01740,Synpcc7942_0341,SE_353,SE_353,hypothetical protein,SYNPCC7942_0341,hypothetical protein,No COG annotation,A0A0H3K2C0,335633,336205,+,,
SYNPCC7942_RS01745,Synpcc7942_0342,SE_354,SE_354,hypothetical protein,SYNPCC7942_0342,hypothetical protein,No COG annotation,Q31RE5,336363,336590,+,,
SYNPCC7942_RS01750,Synpcc7942_0343,SE_355,psb27,photosystem II Psb27 protein,psb27,photosystem II 11 kD protein,Cell wall/membrane/envelope biogenesis,Q31RE4,336654,337055,+,,
SYNPCC7942_RS01755,Synpcc7942_0344,SE_356,SE_356,Peptidase family M23,SYNPCC7942_0344,probable peptidase,Cell wall/membrane/envelope biogenesis,A0A0H3K5F0,337408,338451,-,,
SYNPCC7942_RS01760,Synpcc7942_0345,SE_357,birA,biotin--acetyl-CoA-carboxylase ligase,birA,Biotin--acetyl-CoA-carboxylase ligase,Coenzyme transport and metabolism,A0A0H3K2B3,338536,339306,-,,
SYNPCC7942_RS01765,Synpcc7942_0346,SE_358,SE_358,peptidoglycan editing factor PgeF,SYNPCC7942_0346,Protein of unknown function DUF152,Function unknown,A0A0H3K2B4,339352,340131,+,,
SYNPCC7942_RS01770,Synpcc7942_0348,SE_359,recA,RecA protein,recA,recA protein,"Replication, recombination and repair",Q31RD9,340698,341768,-,,
SYNPCC7942_RS01775,Synpcc7942_0349,SE_360,SE_360,Protein of unknown function (DUF3611),SYNPCC7942_0349,conserved hypothetical protein,Energy production and conversion,A0A0H3K2Z7,341883,342443,-,,
SYNPCC7942_RS01780,Synpcc7942_0350,SE_361,SE_361,ATP-binding cassette domain-containing protein,SYNPCC7942_0350,ATPase,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0H3K5E5,342793,343671,+,,
SYNPCC7942_RS01785,Synpcc7942_0351,SE_362,ycf22,phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein,SYNPCC7942_0351,putative ABC transport system substrate-binding protein,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0H3K2B0,343699,344832,+,,
SYNPCC7942_RS01790,Synpcc7942_0352,SE_363,SE_363,peptide-methionine (R)-S-oxide reductase,msrB1,Methionine sulfoxide reductase B,"Post-translational modification, protein turnover,and chaperones",A0A0H3K2A8,344823,345431,-,,
SYNPCC7942_RS01795,Synpcc7942_0353,SE_364,SE_364,"bile acid Na symporter, BASS family",SYNPCC7942_0353,Na+-dependent transporter-like,Function unknown,Q31RD4,345470,346432,+,,
SYNPCC7942_RS13910,,SYNPCC7942_RS13910,SYNPCC7942_RS13910,SYNPCC7942_RS13910,SYNPCC7942_RS13910,SYNPCC7942_RS13910,No COG annotation,UPI0012DC61E1,346536,346772,+,,
SYNPCC7942_RS01800,Synpcc7942_0354,SE_366,bgl,beta-glucosidase,SYNPCC7942_0354,Beta-glucosidase-related glycosidases-like,Carbohydrate transport and metabolism,Q31RD3,346832,348460,-,,
SYNPCC7942_RS01805,Synpcc7942_0355,SE_367,rbfA,ribosome-binding factor A,rbfA,ribosome-binding factor A,"Translation, ribosomal structure and biogenesis",Q31RD2,348457,348870,-,,
SYNPCC7942_RS01810,Synpcc7942_0356,SE_368,ycf33,Protein of unknown function (DUF751),SYNPCC7942_0356,conserved hypothetical protein YCF33,Function unknown,A0A0H3K5D9,348922,349146,-,,
SYNPCC7942_RS01815,,SE_369,SE_369,hypothetical protein,SYNPCC7942_RS01815,SYNPCC7942_RS01815,No COG annotation,UPI00058508B9,349591,349968,-,,
SYNPCC7942_RS01820,Synpcc7942_0357,SE_370,ictB,putative inorganic carbon (hco3(-)) transporter,ictB,inorganic carbon transporter,Cell wall/membrane/envelope biogenesis,A0A0H3K2A5,349875,351278,-,,
SYNPCC7942_RS01825,Synpcc7942_0358,SE_371,dc13,tRNA (guanine-N7-)-methyltransferase,dc13,bicarbonate transport induction protein,"Translation, ribosomal structure and biogenesis",P72546,351309,351950,-,,
SYNPCC7942_RS01830,Synpcc7942_0359,SE_372,SE_372,"3',5'-cyclic AMP phosphodiesterase CpdA",SYNPCC7942_0359,conserved hypothetical protein,Function unknown,UPI00004600F9,352026,353207,+,,
SYNPCC7942_RS01835,Synpcc7942_0360,SE_373,SE_373,Small ligand-binding sensory domain FIST,SYNPCC7942_0360,conserved hypothetical protein,Function unknown,A0A0H3K8N5,353103,354299,-,,
SYNPCC7942_RS01840,Synpcc7942_0361,SE_374,cp12,CP12 domain-containing protein,SYNPCC7942_0361,conserved hypothetical protein,Function unknown,A0A0H3K2Y6,354532,354759,+,,
SYNPCC7942_RS01845,Synpcc7942_0362,SE_375,SE_375,Protein of unknown function (DUF3177),SYNPCC7942_0362,conserved hypothetical protein,Function unknown,A0A0H3K5D4,354884,355483,+,,
SYNPCC7942_RS01850,Synpcc7942_0363,SE_376,SE_376,hypothetical protein,SYNPCC7942_0363,conserved hypothetical protein,No COG annotation,Q31RC4,355509,355793,+,,
SYNPCC7942_RS01855,Synpcc7942_0364,SE_377,SE_377,phycobiliprotein lyase,SYNPCC7942_0364,hypothetical protein,Coenzyme transport and metabolism,A0A0H3K298,355865,356416,+,,
SYNPCC7942_RS01860,Synpcc7942_0365,SE_378,SE_378,response regulator; cheY family,SYNPCC7942_0365,response regulator receiver domain protein (CheY-like),Signal transduction mechanisms,A0A0H3K8M9,356676,357305,+,,
SYNPCC7942_RS13915,,SYNPCC7942_RS13915,SYNPCC7942_RS13915,SYNPCC7942_RS13915,SYNPCC7942_RS13915,SYNPCC7942_RS13915,No COG annotation,UPI0002FF3C55,357299,357436,-,,
SYNPCC7942_RS01865,Synpcc7942_0366,SE_379,ltnT,"sulfate permease, SulP family",ltnT,putative sulfate transporter,Inorganic ion transport and metabolism,A0A0H3K2Y1,357549,359732,+,,
SYNPCC7942_RS01870,Synpcc7942_0367,SE_380,SE_380,"bile acid Na symporter, BASS family",SYNPCC7942_0367,Na+-dependent transporter-like,Function unknown,Q31RC0,359767,360690,-,,
SYNPCC7942_RS01875,Synpcc7942_0368,SYNPCC7942_RS01875,SYNPCC7942_RS01875,SYNPCC7942_RS01875,xseA,"exodeoxyribonuclease VII, large subunit","Replication, recombination and repair",Q31RB9,360711,362063,+,,
SYNPCC7942_RS01880,Synpcc7942_0369,SE_382,aoxB,monoamine oxidase,SYNPCC7942_0369,putative flavin-containing monoamine oxidase,Amino acid transport and metabolism,Q31RB8,362147,363601,+,,
SYNPCC7942_RS01885,Synpcc7942_0370,SE_383,metY,O-acetylhomoserine sulfhydrylase,metY,O-acetylhomoserine/O-acetylserine sulfhydrylase,Amino acid transport and metabolism,A0A0H3K8M4,363763,365067,+,,
SYNPCC7942_RS01890,Synpcc7942_0371,SE_384,metA,homoserine O-succinyltransferase,metA,homoserine O-succinyltransferase,Amino acid transport and metabolism,Q31RB6,365116,366015,+,,
SYNPCC7942_RS13670,Synpcc7942_0372,SE_385,SE_385,hypothetical protein,SYNPCC7942_RS13670,SYNPCC7942_RS13670,Function unknown,Q31RB5,366053,366853,+,,
SYNPCC7942_RS01900,Synpcc7942_0373,SE_386,SE_386,"Ribosomal protein L16 Arg81 hydroxylase, contains JmjC domain",SYNPCC7942_0373,conserved hypothetical protein,Function unknown,Q31RB4,366738,368024,-,,
SYNPCC7942_RS01905,Synpcc7942_0374,SE_387,SE_387,hypothetical protein,SYNPCC7942_0374,hypothetical protein,No COG annotation,Q31RB3,368290,368574,-,,
SYNPCC7942_RS01910,Synpcc7942_0375,SE_388,ymxG,zinc protease,SYNPCC7942_0375,processing protease,Function unknown,A0A0H3K288,368929,370344,-,,
SYNPCC7942_RS01915,Synpcc7942_0376,SE_389,pqqE,zinc protease,SYNPCC7942_0376,putative zinc protease protein,Function unknown,Q31RB1,370341,371867,-,,
SYNPCC7942_RS01920,Synpcc7942_0377,SE_390,rpoD4,hypothetical protein,SYNPCC7942_0377,conserved hypothetical protein,No COG annotation,A0A0H3K8M0,371868,372206,-,,
SYNPCC7942_RS01925,Synpcc7942_0378,SE_391,ycf63,phospholipid/cholesterol/gamma-HCH transport system permease protein,SYNPCC7942_0378,Protein of unknown function DUF140,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0H3K2X4,372532,373326,+,,
SYNPCC7942_RS01930,Synpcc7942_0379,SE_392,SE_392,Protein of unknown function (DUF3119),SYNPCC7942_0379,conserved hypothetical protein,Function unknown,Q31RA8,373380,373763,+,,
SYNPCC7942_RS01935,Synpcc7942_0380,SE_393,SE_393,Protein of unknown function (DUF3086),SYNPCC7942_0380,conserved hypothetical protein,"Cell cycle control, cell division, chromosome partitioning",A0A0H3K281,373785,374828,+,,
SYNPCC7942_RS01940,,SE_394,SE_394,hypothetical protein,SYNPCC7942_RS01940,SYNPCC7942_RS01940,No COG annotation,UPI00004600EB,374813,375019,-,,
SYNPCC7942_RS01945,Synpcc7942_0381,SE_395,SE_395,DUF2752 domain-containing protein,SYNPCC7942_0381,conserved hypothetical protein,Function unknown,Q31RA6,375032,375346,-,,
SYNPCC7942_RS01950,Synpcc7942_0382,SE_396,SE_396,TM2 domain-containing protein,SYNPCC7942_0382,conserved hypothetical protein,Function unknown,A0A0H3K8L4,375456,375722,-,,
SYNPCC7942_RS01955,Synpcc7942_0383,SE_397,SE_397,hypothetical protein,SYNPCC7942_0383,hypothetical protein,Function unknown,Q31RA4,375762,376448,-,,
SYNPCC7942_RS01960,Synpcc7942_0384,SE_398,SE_398,hypothetical protein,SYNPCC7942_0384,hypothetical protein,Function unknown,Q31RA3,376527,377237,-,,
SYNPCC7942_RS01965,Synpcc7942_0385,SE_399,chlP,geranylgeranyl reductase,chlP1,geranylgeranyl reductase,Energy production and conversion,UPI00004600E9,377321,378568,-,,
SYNPCC7942_RS01970,Synpcc7942_0386,SE_400,SE_400,"conserved hypothetical protein, cofD-related",SYNPCC7942_0386,conserved hypothetical protein,Function unknown,A0A0H3K275,378981,380390,+,,
SYNPCC7942_RS01975,Synpcc7942_0387,SE_401,SE_401,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE,SYNPCC7942_0387,Protein of unknown function UPF0079,Function unknown,A0A0H3K8L0,380395,380901,+,,
SYNPCC7942_RS01980,Synpcc7942_0388,SE_402,rfaG,Glycosyltransferase involved in cell wall bisynthesis,SYNPCC7942_0388,probable glycosyltransferase,Cell wall/membrane/envelope biogenesis,Q31R99,380870,381991,-,,
SYNPCC7942_RS01985,,SE_403,SE_403,hypothetical protein,SYNPCC7942_RS01985,SYNPCC7942_RS01985,No COG annotation,UPI00004600E5,382085,382285,+,,
SYNPCC7942_RS01990,Synpcc7942_0390,SE_404,chrA,chromate transporter,SYNPCC7942_0390,Chromate transporter,Inorganic ion transport and metabolism,A0A0H3K5A9,382303,383454,-,,
SYNPCC7942_RS01995,Synpcc7942_0391,SE_405,SE_405,Predicted dienelactone hydrolase,SYNPCC7942_0391,conserved hypothetical protein,Function unknown,A0A0H3K271,383545,385125,-,,
SYNPCC7942_RS02000,Synpcc7942_0392,SE_406,mltA,murein transglycosylase,moeB,molybdopterin synthase adenylase,Cell wall/membrane/envelope biogenesis,UPI0012DF80B3,385350,386699,-,,
SYNPCC7942_RS02005,Synpcc7942_0393,SE_407,SE_407,Protein of unknown function (DUF2993),SYNPCC7942_0393,conserved hypothetical protein,Function unknown,Q31R94,386677,387357,+,,
SYNPCC7942_RS02010,Synpcc7942_0394,SE_408,cdsA,phosphatidate cytidylyltransferase,cdsA,phosphatidate cytidylyltransferase,Cell wall/membrane/envelope biogenesis,A0A0H3K2V7,387354,388220,-,,
SYNPCC7942_RS02015,Synpcc7942_0395,SE_409,SE_409,hypothetical protein,SYNPCC7942_0395,hypothetical protein,"Replication, recombination and repair",Q31R92,388494,389618,+,,
SYNPCC7942_RS02020,Synpcc7942_0396,SE_410,purH,IMP cyclohydrolase /phosphoribosylaminoimidazolecarboxamide formyltransferase,purH,phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,Nucleotide transport and metabolism,Q31R91,389953,391494,+,,
SYNPCC7942_RS02025,Synpcc7942_0397,SE_411,lim17,Alkaline and neutral invertase,SYNPCC7942_0397,putative neutral invertase,Carbohydrate transport and metabolism,Q31R90,391532,392923,+,,
SYNPCC7942_RS02030,Synpcc7942_0398,SE_412,SE_412,Protein of unknown function (DUF4079),SYNPCC7942_0398,hypothetical protein,Function unknown,A0A0H3K8J8,392990,393448,+,,
SYNPCC7942_RS02035,Synpcc7942_0399,SE_413,SE_413,"L-ascorbate metabolism protein UlaG, beta-lactamase superfamily",SYNPCC7942_0399,conserved hypothetical protein,Function unknown,A0A0H3K2V2,393793,394545,-,,
SYNPCC7942_RS02040,Synpcc7942_0400,SE_414,trpG,"anthranilate synthase, component II",trpG,"Anthranilate synthase, component II",Amino acid transport and metabolism,A0A0H3K598,394579,395181,-,,
SYNPCC7942_RS02045,Synpcc7942_0401,SE_415,dgkA,diacylglycerol kinase family protein,dgkA,Diacylglycerol kinase,Cell wall/membrane/envelope biogenesis,A0A0H3K257,395246,395731,-,,
SYNPCC7942_RS02050,Synpcc7942_0402,SE_416,SE_416,probable rRNA maturation factor,SYNPCC7942_0402,Protein of unknown function UPF0054,"Translation, ribosomal structure and biogenesis",Q31R85,396872,397396,-,,
SYNPCC7942_RS02055,Synpcc7942_0403,SE_417,SE_417,Protein of unknown function (DUF3285),SYNPCC7942_0403,conserved hypothetical protein,Function unknown,Q31R84,397398,397577,-,,
SYNPCC7942_RS02060,Synpcc7942_0404,SYNPCC7942_RS02060,SYNPCC7942_RS02060,SYNPCC7942_RS02060,prfB,peptide chain release factor 2,No COG annotation,UPI0012DFBB83,397595,398644,-,,
SYNPCC7942_RS02065,Synpcc7942_0405,SE_419,holA,"DNA polymerase III, delta subunit",holA,"DNA polymerase III, delta subunit","Replication, recombination and repair",Q31R82,398870,399868,+,,
SYNPCC7942_RS02070,Synpcc7942_0406,SE_420,SE_420,protein of unknown function (DUF4168),SYNPCC7942_0406,conserved hypothetical protein,Function unknown,A0A0H3K2V0,399953,400354,+,,
SYNPCC7942_RS02075,Synpcc7942_0407,SE_421,psaK1,Photosystem I reaction center subunit PsaK,psaK,PsaK,"Intracellular trafficking, secretion, and vesicular transport",A0A0H3K593,400429,400671,-,,
SYNPCC7942_RS02080,Synpcc7942_0408,SE_422,trpF,phosphoribosylanthranilate isomerase,trpF,Phosphoribosylanthranilate isomerase,Amino acid transport and metabolism,Q31R79,400768,401421,+,,
SYNPCC7942_RS02085,Synpcc7942_0409,SE_423,SE_423,hypothetical protein,SYNPCC7942_0409,hypothetical protein,No COG annotation,Q31R78,401464,401748,-,,
SYNPCC7942_RS02090,Synpcc7942_0410,SE_424,SE_424,"Ribonuclease toxin, BrnT, of type II toxin-antitoxin system",SYNPCC7942_0410,conserved hypothetical protein,Function unknown,A0A0H3K252,401750,402022,-,,
SYNPCC7942_RS02095,Synpcc7942_0411,SE_425,trpA,"tryptophan synthase, alpha chain",trpA,"tryptophan synthase, alpha subunit",Amino acid transport and metabolism,Q31R76,402191,402991,-,,
SYNPCC7942_RS02100,Synpcc7942_0412,SE_426,SE_426,Protein of unknown function (DUF3007),SYNPCC7942_0412,hypothetical protein,Function unknown,A0A0H3K253,403022,403351,-,,
SYNPCC7942_RS02105,,SE_427,ndhL,NAD(P)H-quinone oxidoreductase,SYNPCC7942_RS02105,SYNPCC7942_RS02105,Energy production and conversion,UPI000585A481,403352,403564,-,,
SYNPCC7942_RS02115,Synpcc7942_0414,SE_429,SE_429,"Uncharacterized conserved protein, DUF39 family",SYNPCC7942_0414,conserved hypothetical protein,Function unknown,Q31R73,404016,405188,+,,
SYNPCC7942_RS02120,Synpcc7942_0415,SE_430,SE_430,Pentapeptide repeat-containing protein,SYNPCC7942_0415,conserved hypothetical protein,Function unknown,A0A0H3K2U4,405168,406145,-,,
SYNPCC7942_RS02125,Synpcc7942_0416,SE_431,SE_431,hypothetical protein,SYNPCC7942_0416,conserved hypothetical protein,No COG annotation,UPI00005E2802,406389,406772,+,,
SYNPCC7942_RS02130,Synpcc7942_0417,SE_432,SE_432,"AAA -type ATPase, SpoVK/Ycf46/Vps4 family",SYNPCC7942_0417,ATPase,"Post-translational modification, protein turnover,and chaperones",A0A0H3K249,406851,408359,+,,
SYNPCC7942_RS02135,Synpcc7942_0418,SE_433,SE_433,Protein of unknown function (DUF1257),SYNPCC7942_0418,conserved hypothetical protein,Function unknown,A0A0H3K243,408494,408844,+,,
SYNPCC7942_RS02140,Synpcc7942_0419,SE_434,bioB,biotin synthase,bioB,biotin synthase,Coenzyme transport and metabolism,Q31R68,408941,409903,-,,
SYNPCC7942_RS02145,Synpcc7942_0420,SE_435,SE_435,hypothetical protein,SYNPCC7942_0420,conserved hypothetical protein,Coenzyme transport and metabolism,Q31R67,409951,411516,-,,
SYNPCC7942_RS02150,Synpcc7942_0421,SE_436,SE_436,MAPEG domain containing protein,SYNPCC7942_0421,hypothetical protein,Function unknown,Q31R66,411548,411946,-,,
SYNPCC7942_RS02155,Synpcc7942_0422,SE_437,SE_437,hypothetical protein,SYNPCC7942_0422,conserved hypothetical protein,No COG annotation,A0A0H3K586,412147,413289,+,,
SYNPCC7942_RS02160,Synpcc7942_0423,SE_438,SE_438,hypothetical protein,SYNPCC7942_0423,conserved hypothetical protein,No COG annotation,A0A0H3K242,413396,413614,-,,
SYNPCC7942_RS02165,Synpcc7942_0424,SE_439,psbAI,photosystem II P680 reaction center D1 protein,psbA1,D1 protein,Energy production and conversion,P04996,413873,414955,+,,
SYNPCC7942_RS02170,Synpcc7942_0425,SE_440,SE_440,Protein of unknown function (DUF760),SYNPCC7942_0425,conserved hypothetical protein,Function unknown,A0A0H3K237,415064,415441,-,,
SYNPCC7942_RS02175,Synpcc7942_0426,SE_441,scpB,segregation and condensation protein B,scpB,condensin subunit ScpB,"Cell cycle control, cell division, chromosome partitioning",A0A0H3K8F8,415535,416086,-,,
SYNPCC7942_RS02180,Synpcc7942_0427,SE_442,SE_442,ABC-2 type transport system ATP-binding protein,SYNPCC7942_0427,ATPase,Defense mechanisms,A0A0H3K2T4,416103,416951,-,,
SYNPCC7942_RS02185,Synpcc7942_0428,SE_443,leuA,2-isopropylmalate synthase,leuA1,2-isopropylmalate synthase,Amino acid transport and metabolism,A0A0H3K581,416982,418610,-,,
SYNPCC7942_RS02190,Synpcc7942_0429,SE_444,SE_444,hypothetical protein,SYNPCC7942_0429,conserved hypothetical protein,No COG annotation,UPI00003A061C,418681,419220,-,,
