locus_tag,old_locus_tag,marie_annot,marie_gene_name,marie_product,gene_name,cycbio_gene_product,old_gene_name,old_gene_product,COG,uniprot,operon,accession,start,stop,strand
SYNPCC7942_RS02940,Synpcc7942_0578,SE_596,sqdB,UDP-sulfoquinovose synthase,sqdB,UDP-sulfoquinovose synthase,SYNPCC7942_RS02940,NAD-dependent epimerase/dehydratase family protein,Carbohydrate transport and metabolism,A0A0H3K2C3,Op413,NC_007604.1,558408,559616,+
SYNPCC7942_RS02945,Synpcc7942_0579,SE_597,sqdX,Glycosyltransferase involved in cell wall bisynthesis,sqdX,sulfoquinovosyldiacylglycerol synthase,SYNPCC7942_RS02945,glycosyltransferase,Cell wall/membrane/envelope biogenesis,A0A0H3K4S8,Op413,NC_007604.1,559632,560765,+
SYNPCC7942_RS02950,Synpcc7942_0580,SE_598,ftsI,peptidoglycan glycosyltransferase,mrcA1,Peptidoglycan glycosyltransferase,mrdA,penicillin-binding protein 2,Cell wall/membrane/envelope biogenesis,Q31QQ7,Op414,NC_007604.1,560720,562537,-
SYNPCC7942_RS02955,Synpcc7942_0581,SE_599,SE_599,hypothetical protein,SYNPCC7942_0581,conserved hypothetical protein,SYNPCC7942_RS02955,hypothetical protein,No COG annotation,A0A0H3K1N2,Op415,NC_007604.1,562634,562981,-
SYNPCC7942_RS02960,Synpcc7942_0582,SE_600,SE_600,alpha/beta fold hydrolase,SYNPCC7942_0582,conserved hypothetical protein,SYNPCC7942_RS02960,alpha/beta fold hydrolase,Function unknown,A0A0H3K7U3,Op415,NC_007604.1,563020,564024,-
SYNPCC7942_RS02965,Synpcc7942_0583,SE_601,chlI,protoporphyrin IX magnesium-chelatase,chlI,Magnesium chelatase subunit I,bchI,magnesium chelatase ATPase subunit I,Coenzyme transport and metabolism,A0A0H3K2B6,Op416,NC_007604.1,564123,565217,+
SYNPCC7942_RS02970,Synpcc7942_0584,SE_602,rpiA,ribose-5-phosphate isomerase,rpiA,ribose 5-phosphate isomerase,rpiA,ribose-5-phosphate isomerase RpiA,Carbohydrate transport and metabolism,Q31QQ3,Op417,NC_007604.1,565354,566079,-
SYNPCC7942_RS02975,Synpcc7942_0585,SE_603,SE_603,serine protease,SYNPCC7942_0585,PDZ/DHR/GLGF,SYNPCC7942_RS02975,trypsin-like peptidase domain-containing protein,"Post-translational modification, protein turnover,and chaperones",Q31QQ2,Op418,NC_007604.1,566168,567388,-
SYNPCC7942_RS02980,Synpcc7942_0586,SE_604,SE_604,"3',5'-cyclic-nucleotide phosphodiesterase",SYNPCC7942_0586,conserved hypothetical protein,SYNPCC7942_RS02980,metallophosphoesterase,Function unknown,UPI00003A0598,Op419,NC_007604.1,567539,568306,-
SYNPCC7942_RS03010,Synpcc7942_0587,SE_610,valS,valyl-tRNA synthetase,valS,valyl-tRNA synthetase,SYNPCC7942_RS03010,valine--tRNA ligase,"Translation, ribosomal structure and biogenesis",Q31QQ0,Op420,NC_007604.1,573854,576583,+
SYNPCC7942_RS03015,Synpcc7942_0588,SE_611,purT,phosphoribosylglycinamide formyltransferase,purN2,phosphoribosylglycinamide formyltransferase 2,purT,formate-dependent phosphoribosylglycinamide formyltransferase,Nucleotide transport and metabolism,Q31QP9,Op421,NC_007604.1,576665,577840,-
SYNPCC7942_RS13680,,SE_612,SE_612,Photosystem II complex subunit Ycf12,SYNPCC7942_RS13680,SYNPCC7942_RS13680,SYNPCC7942_RS13680,photosystem II reaction center protein Ycf12,No COG annotation,UPI0002EF89E3,Op422,NC_007604.1,577941,578060,-
SYNPCC7942_RS03020,,SE_613,SE_613,Fe-S cluster oxidoreductase protein,SYNPCC7942_RS03020,SYNPCC7942_RS03020,SYNPCC7942_RS03020,YkgJ family cysteine cluster protein,Function unknown,A0A0H3K4S2,Op423,NC_007604.1,578208,578573,+
SYNPCC7942_RS03025,Synpcc7942_0590,SE_614,SE_614,Putative Ca+/H+ antiporter,SYNPCC7942_0590,membrane protein-like,SYNPCC7942_RS03025,TMEM165/GDT1 family protein,Function unknown,A0A0H3K1I7,Op424,NC_007604.1,578620,578967,+
SYNPCC7942_RS03030,Synpcc7942_0591,SE_615,SE_615,Putative Ca+/H+ antiporter,SYNPCC7942_0591,membrane protein-like,SYNPCC7942_RS03030,TMEM165/GDT1 family protein,Function unknown,A0A0H3K1M7,Op424,NC_007604.1,578972,579298,+
SYNPCC7942_RS03035,Synpcc7942_0592,SE_616,pfkA,6-phosphofructokinase,pfkA,6-phosphofructokinase,SYNPCC7942_RS03035,6-phosphofructokinase,Coenzyme transport and metabolism,Q31QP5,Op425,NC_007604.1,579312,580394,-
SYNPCC7942_RS13615,Synpcc7942_0593,SE_617,SE_617,Protein of unknown function (DUF3887),SYNPCC7942_0593,hypothetical protein,SYNPCC7942_RS13615,DUF3887 domain-containing protein,Function unknown,Q31QP4,Op425,NC_007604.1,580422,581174,-
SYNPCC7942_RS03045,Synpcc7942_0594,SE_618,SE_618,CocE/NonD family hydrolase,SYNPCC7942_0594,conserved hypothetical protein,SYNPCC7942_RS03045,CocE/NonD family hydrolase,Function unknown,A0A0H3K4R7,Op425,NC_007604.1,581205,582881,-
SYNPCC7942_RS03050,Synpcc7942_0595,SE_619,SE_619,Protein of unknown function (DUF2808),SYNPCC7942_0595,hypothetical protein,SYNPCC7942_RS03050,DUF2808 domain-containing protein,"Post-translational modification, protein turnover,and chaperones",Q31QP2,Op425,NC_007604.1,582850,583398,-
SYNPCC7942_RS03055,Synpcc7942_0596,SE_620,SE_620,methyltransferase domain-containing protein,SYNPCC7942_0596,delta(24)-sterol C-methyltransferase,SYNPCC7942_RS03055,methyltransferase domain-containing protein,Coenzyme transport and metabolism,Q31QP1,Op426,NC_007604.1,583496,584428,+
SYNPCC7942_RS03060,Synpcc7942_0597,SE_621,menB,"1,4-Dihydroxy-2-naphthoyl-CoA synthase",SYNPCC7942_0597,naphthoate synthase,menB,1%2C4-dihydroxy-2-naphthoyl-CoA synthase,Coenzyme transport and metabolism,Q31QP0,Op427,NC_007604.1,584425,585264,-
SYNPCC7942_RS03065,Synpcc7942_0598,SE_622,SE_622,peptidoglycan DD-metalloendopeptidase family protein,SYNPCC7942_0598,Peptidoglycan-binding LysM,SYNPCC7942_RS03065,peptidoglycan DD-metalloendopeptidase family protein,Cell wall/membrane/envelope biogenesis,A0A0H3K2A2,Op428,NC_007604.1,585701,587473,+
SYNPCC7942_RS03075,Synpcc7942_0599,SE_624,SE_624,"transcriptional regulator /transcriptional regulator, TetR family",SYNPCC7942_0599,"putative transcriptional regulator, TetR family",SYNPCC7942_RS03075,TetR/AcrR family transcriptional regulator,Transcription,A0A0H3K4R1,Op429,NC_007604.1,587802,588404,-
SYNPCC7942_RS03080,Synpcc7942_0600,SE_625,prkE,serine/threonine protein kinase,spkA,serine/threonine protein kinase,SYNPCC7942_RS03080,serine/threonine protein kinase,Transcription,A0A0H3K1H3,Op430,NC_007604.1,588528,590060,-
SYNPCC7942_RS03090,Synpcc7942_0602,SE_627,SE_627,hypothetical protein,SYNPCC7942_0602,conserved hypothetical protein,SYNPCC7942_RS03090,hypothetical protein,No COG annotation,A0A0H3K1L5,Op431,NC_007604.1,590846,591454,-
SYNPCC7942_RS03095,Synpcc7942_0603,SE_628,glgC,glucose-1-phosphate adenylyltransferase,glgC,Glucose-1-phosphate adenylyltransferase,SYNPCC7942_RS03095,glucose-1-phosphate adenylyltransferase,Coenzyme transport and metabolism,Q31QN4,Op431,NC_007604.1,591459,592751,-
SYNPCC7942_RS03100,Synpcc7942_0604,SYNPCC7942_RS03100,SYNPCC7942_RS03100,SYNPCC7942_RS03100,cbbE,ribulose-phosphate 3-epimerase,SYNPCC7942_RS03100,ribulose-phosphate 3-epimerase,Carbohydrate transport and metabolism,UPI0000460076,Op432,NC_007604.1,592950,593633,+
SYNPCC7942_RS03105,Synpcc7942_0605,SE_630,SE_630,putative membrane protein,SYNPCC7942_0605,conserved hypothetical protein,SYNPCC7942_RS03105,hypothetical protein,Function unknown,Q31QN2,Op433,NC_007604.1,593711,594694,-
SYNPCC7942_RS03110,Synpcc7942_0606,SE_631,aat,leucyl/phenylalanyl-tRNA--protein transferase,aat,leucyl/phenylalanyl-tRNA--protein transferase,SYNPCC7942_RS03110,leucyl/phenylalanyl-tRNA--protein transferase,"Post-translational modification, protein turnover,and chaperones",Q31QN1,Op433,NC_007604.1,594687,595367,-
SYNPCC7942_RS03115,Synpcc7942_0607,SE_632,SE_632,hypothetical protein,SYNPCC7942_0607,conserved hypothetical protein,SYNPCC7942_RS03115,hypothetical protein,No COG annotation,UPI000049BCFA,Op434,NC_007604.1,595381,595707,+
SYNPCC7942_RS03120,Synpcc7942_0608,SE_633,SE_633,acireductone dioxygenase apoprotein,SYNPCC7942_0608,conserved hypothetical protein,SYNPCC7942_RS03120,acireductone dioxygenase,Nucleotide transport and metabolism,UPI00003A0583,Op435,NC_007604.1,595756,596298,+
SYNPCC7942_RS03125,,SE_634,ndhD4,NADH dehydrogenase subunit M,ndhD4,proton-translocating NADH-quinone oxidoreductase subunit NdhD4,SYNPCC7942_RS03125,NADH-quinone oxidoreductase subunit M,Energy production and conversion,,Op436,NC_007604.1,596382,597872,+
SYNPCC7942_RS03130,Synpcc7942_0610,SE_635,SE_635,mechanosensitive ion channel,SYNPCC7942_0610,conserved hypothetical protein,SYNPCC7942_RS03130,mechanosensitive ion channel,Cell wall/membrane/envelope biogenesis,Q8VPU8,Op437,NC_007604.1,597977,599776,+
SYNPCC7942_RS03135,Synpcc7942_0611,SE_636,mutS,DNA mismatch repair protein MutS2,SYNPCC7942_0611,MutS2 family protein,SYNPCC7942_RS03135,endonuclease MutS2,"Replication, recombination and repair",Q31QM6,Op437,NC_007604.1,599815,602205,+
SYNPCC7942_RS03140,Synpcc7942_0612,SE_637,gltA,citrate synthase,gltA,2-methylcitrate synthase/citrate synthase II,SYNPCC7942_RS03140,citrate synthase,Energy production and conversion,Q31QM5,Op438,NC_007604.1,602209,603369,-
SYNPCC7942_RS03145,Synpcc7942_0613,SE_638,sixA,"phosphohistidine phosphatase, SixA",sixA,"phosphohistidine phosphatase, SixA",sixA,phosphohistidine phosphatase SixA,Signal transduction mechanisms,A0A0H3K1G1,Op439,NC_007604.1,603504,603992,-
SYNPCC7942_RS03150,Synpcc7942_0614,SE_639,SE_639,Protein of unknown function (DUF3352),SYNPCC7942_0614,conserved hypothetical protein,SYNPCC7942_RS03150,DUF3352 domain-containing protein,Cell wall/membrane/envelope biogenesis,A0A0H3K1K4,Op439,NC_007604.1,603996,605675,-
SYNPCC7942_RS03155,Synpcc7942_0615,SE_640,SE_640,Rhodanese-related sulfurtransferase,SYNPCC7942_0615,Rhodanese-like,SYNPCC7942_RS03155,hypothetical protein,Inorganic ion transport and metabolism,A0A0H3K7Q3,Op440,NC_007604.1,605836,606180,+
SYNPCC7942_RS03160,Synpcc7942_0616,SE_641,hrcA,heat-inducible transcription repressor HrcA,hrcA,heat-inducible transcription repressor HrcA,hrcA,heat-inducible transcriptional repressor HrcA,Transcription,Q31QM1,Op441,NC_007604.1,606238,607299,+
SYNPCC7942_RS03165,Synpcc7942_0617,SE_642,SE_642,hypothetical protein,SYNPCC7942_0617,conserved hypothetical protein,SYNPCC7942_RS03165,hypothetical protein,No COG annotation,Q31QM0,Op442,NC_007604.1,607311,607688,-
SYNPCC7942_RS03170,Synpcc7942_0618,SE_643,ahcY,S-adenosyl-L-homocysteine hydrolase,ahcY,adenosylhomocysteinase,SYNPCC7942_RS03170,adenosylhomocysteinase,Coenzyme transport and metabolism,Q31QL9,Op443,NC_007604.1,607820,609100,+
SYNPCC7942_RS03175,Synpcc7942_0619,SE_644,SE_644,"DedA family protein, putative membrane protein",SYNPCC7942_0619,conserved hypothetical protein,SYNPCC7942_RS03175,DedA family protein,Function unknown,A0A0H3K1F4,Op444,NC_007604.1,609153,609788,+
SYNPCC7942_RS03180,Synpcc7942_0620,SE_645,SE_645,DUF541 domain-containing protein,SYNPCC7942_0620,conserved hypothetical protein,SYNPCC7942_RS03180,SIMPL domain-containing protein,Function unknown,A0A0H3K1K0,Op445,NC_007604.1,609866,610570,+
SYNPCC7942_RS03185,Synpcc7942_0621,SE_646,SE_646,hypothetical protein,SYNPCC7942_0621,conserved hypothetical protein,SYNPCC7942_RS03185,hypothetical protein,Carbohydrate transport and metabolism,A0A0H3K7P5,Op446,NC_007604.1,610715,611893,+
SYNPCC7942_RS03190,Synpcc7942_0622,SE_647,SE_647,ABC transporter ATP-binding protein,SYNPCC7942_0622,ATPase,SYNPCC7942_RS03190,ABC transporter ATP-binding protein/permease,Function unknown,Q31QL5,Op446,NC_007604.1,611915,613912,+
SYNPCC7942_RS03195,Synpcc7942_0623,SE_648,trxB,thioredoxin reductase (NADPH),trxB,thioredoxin reductase,trxB,thioredoxin-disulfide reductase,Energy production and conversion,Q31QL4,Op447,NC_007604.1,613972,615351,+
SYNPCC7942_RS03200,Synpcc7942_0624,SE_649,ldpA,"LdpA, light-dependent period, Fe-S-cluster-containing hydrogenase component 2",ldpA,light dependent period,SYNPCC7942_RS03200,4Fe-4S ferredoxin,Energy production and conversion,Q8GLI4,Op447,NC_007604.1,615361,616419,+
SYNPCC7942_RS03205,Synpcc7942_0625,SE_650,ycf45,AAA family ATPase,SYNPCC7942_0625,Single-stranded nucleic acid binding protein R3H,SYNPCC7942_RS03205,AAA family ATPase,Function unknown,Q31QL2,Op447,NC_007604.1,616419,618185,+
SYNPCC7942_RS03210,Synpcc7942_0626,SE_651,ilvD,dihydroxyacid dehydratase,ilvD,dihydroxy-acid dehydratase,ilvD,dihydroxy-acid dehydratase,Coenzyme transport and metabolism,Q31QL1,Op448,NC_007604.1,618362,620221,+
SYNPCC7942_RS03220,Synpcc7942_0627,SE_653,SE_653,HAD family hydrolase,SYNPCC7942_0627,conserved hypothetical protein,SYNPCC7942_RS03220,hypothetical protein,Function unknown,A0A0H3K7N8,Op449,NC_007604.1,620462,621226,+
SYNPCC7942_RS03225,Synpcc7942_0628,SE_654,SE_654,spermidine synthase,speE,spermidine synthase,speE,polyamine aminopropyltransferase,Coenzyme transport and metabolism,Q31QK9,Op450,NC_007604.1,621277,622137,+
SYNPCC7942_RS03230,Synpcc7942_0629,SE_655,SE_655,hypothetical protein,SYNPCC7942_0629,hypothetical protein,SYNPCC7942_RS03230,hypothetical protein,No COG annotation,UPI00003A0570,Op451,NC_007604.1,622134,622340,-
SYNPCC7942_RS03235,Synpcc7942_0630,SE_656,SE_656,DUF3747 family protein,SYNPCC7942_0630,hypothetical protein,SYNPCC7942_RS03235,DUF3747 domain-containing protein,Function unknown,A0A0H3K267,Op452,NC_007604.1,622432,623574,+
SYNPCC7942_RS03240,Synpcc7942_0631,SE_657,rplL,LSU ribosomal protein L12P,rplL,50S ribosomal subunit protein L7/L12,rplL,50S ribosomal protein L7/L12,"Translation, ribosomal structure and biogenesis",Q31QK6,Op453,NC_007604.1,623876,624262,-
SYNPCC7942_RS03245,Synpcc7942_0632,SE_658,rplJ,LSU ribosomal protein L10P,rplJ,50S ribosomal subunit protein L10,SYNPCC7942_RS03245,50S ribosomal protein L10,"Translation, ribosomal structure and biogenesis",Q31QK5,Op454,NC_007604.1,624322,624849,-
SYNPCC7942_RS03250,Synpcc7942_0633,SE_659,rplA,LSU ribosomal protein L1P,rplA,50S ribosomal subunit protein L1,rplA,50S ribosomal protein L1,"Translation, ribosomal structure and biogenesis",Q31QK4,Op455,NC_007604.1,625078,625791,-
SYNPCC7942_RS03255,Synpcc7942_0634,SE_660,rplK,LSU ribosomal protein L11P,rplK,50S ribosomal subunit protein L11,rplK,50S ribosomal protein L11,"Translation, ribosomal structure and biogenesis",Q31QK3,Op456,NC_007604.1,625866,626291,-
SYNPCC7942_RS03260,Synpcc7942_0635,SE_661,nusG,transcription antitermination protein nusG,nusG,NusG antitermination factor,nusG,transcription termination/antitermination protein NusG,Transcription,Q31QK2,Op456,NC_007604.1,626299,626916,-
SYNPCC7942_RS03265,Synpcc7942_0636,SE_662,secE,protein translocase subunit secE/sec61 gamma,secE,SecE subunit of protein translocation complex,secE,preprotein translocase subunit SecE,"Intracellular trafficking, secretion, and vesicular transport",A0A0H3K1E1,Op456,NC_007604.1,626925,627170,-
SYNPCC7942_RS03270,Synpcc7942_0637,SE_663,clpB,ATP-dependent Clp protease ATP-binding subunit ClpB,clpB2,ClpB-2 monomer,clpB,ATP-dependent chaperone ClpB,"Post-translational modification, protein turnover,and chaperones",A0A0H3K1I6,Op457,NC_007604.1,627275,629962,-
SYNPCC7942_RS03275,Synpcc7942_0638,SE_664,gloA,lactoylglutathione lyase,gloA,lactoylglutathione lyase,gloA,lactoylglutathione lyase,Amino acid transport and metabolism,Q31QJ9,Op458,NC_007604.1,630050,630463,-
SYNPCC7942_RS03280,Synpcc7942_0639,SE_665,eno,enolase,eno,enolase,SYNPCC7942_RS03280,phosphopyruvate hydratase,Nucleotide transport and metabolism,Q31QJ8,Op459,NC_007604.1,630677,631969,+
SYNPCC7942_RS03285,Synpcc7942_0640,SE_666,SE_666,"ATP-binding cassette, subfamily B",SYNPCC7942_0640,ATPase,SYNPCC7942_RS03285,ABC transporter ATP-binding protein,Defense mechanisms,A0A0H3K261,Op460,NC_007604.1,632225,633991,+
SYNPCC7942_RS03290,Synpcc7942_0641,SE_667,sdhA,succinate dehydrogenase subunit A,sdhA,succinate dehydrogenase subunit A,sdhA,fumarate reductase/succinate dehydrogenase flavoprotein subunit,Energy production and conversion,Q31QJ6,Op461,NC_007604.1,634089,635996,-
SYNPCC7942_RS03295,Synpcc7942_0642,SE_668,prxQ,peroxiredoxin,prxQ-B,peroxiredoxin PrxQ-B,SYNPCC7942_RS03295,peroxiredoxin,"Post-translational modification, protein turnover,and chaperones",A0A0H3K1D6,Op462,NC_007604.1,636125,636670,-
SYNPCC7942_RS03300,Synpcc7942_0643,SE_669,SE_669,copper chaperone/heavy metal transporter,SYNPCC7942_0643,hypothetical protein,SYNPCC7942_RS03300,heavy-metal-associated domain-containing protein,Inorganic ion transport and metabolism,UPI0005847A70,Op463,NC_007604.1,636771,636965,+
SYNPCC7942_RS03305,Synpcc7942_0644,SE_670,cikA,"CikA, GAF sensor signal transduction histidine kinase",cikA,circadian input kinase A,SYNPCC7942_RS03305,GAF domain-containing protein,Signal transduction mechanisms,A0A0H3K1I0,Op464,NC_007604.1,637075,639339,+
SYNPCC7942_RS03310,Synpcc7942_0645,SE_671,hemL,"glutamate-1-semialdehyde 2,1-aminomutase",hemL,"glutamate-1-semialdehyde-2,1-aminomutase",hemL,glutamate-1-semialdehyde 2%2C1-aminomutase,Coenzyme transport and metabolism,Q31QJ2,Op465,NC_007604.1,639457,640758,+
SYNPCC7942_RS03315,Synpcc7942_0646,SE_672,SE_672,hypothetical protein,SYNPCC7942_0646,hypothetical protein,SYNPCC7942_RS03315,hypothetical protein,No COG annotation,Q31QJ1,Op465,NC_007604.1,640765,640992,+
SYNPCC7942_RS03320,Synpcc7942_0647,SE_673,SE_673,Lipoprotein-anchoring transpeptidase ErfK/SrfK,SYNPCC7942_0647,conserved hypothetical protein,SYNPCC7942_RS03320,L%2CD-transpeptidase,Function unknown,Q31QJ0,Op466,NC_007604.1,641196,641738,+
SYNPCC7942_RS13685,Synpcc7942_0648,SE_674,SE_674,trypsin-like peptidase domain-containing protein,SYNPCC7942_RS13685,SYNPCC7942_RS13685,SYNPCC7942_RS13685,trypsin-like peptidase domain-containing protein,Amino acid transport and metabolism,Q31QI9,Op467,NC_007604.1,641843,642694,+
SYNPCC7942_RS03325,Synpcc7942_0649,SE_675,rpoD1,RNA polymerase sigma factor RpoD,rpoD1,sigma factor rpoD1,rpoD,RNA polymerase sigma factor RpoD,Transcription,UPI00001702A7,Op468,NC_007604.1,642767,643921,-
SYNPCC7942_RS03330,Synpcc7942_0650,SE_676,nat,GNAT family N-acetyltransferase,nat,N-acetyltransferase,SYNPCC7942_RS03330,GNAT family N-acetyltransferase,Transcription,A0A0H3K4M5,Op469,NC_007604.1,644174,644659,-
SYNPCC7942_RS03335,Synpcc7942_0651,SE_677,priA,primosome assembly protein PriA,PriA,replication restart DNA helicase,priA,primosomal protein N',"Replication, recombination and repair",A0A0H3K1C7,Op470,NC_007604.1,644741,647161,+
SYNPCC7942_RS03340,Synpcc7942_0652,SE_678,SE_678,FAD-binding oxidoreductase,SYNPCC7942_0652,conserved hypothetical protein,SYNPCC7942_RS03340,hypothetical protein,Energy production and conversion,A0A0H3K1H5,Op471,NC_007604.1,647124,648713,-
SYNPCC7942_RS03345,Synpcc7942_0653,SE_679,cdv1,peptidylprolyl isomerase,cdv1,peptidyl-prolyl cis trans isomerase,SYNPCC7942_RS03345,peptidylprolyl isomerase,Cell wall/membrane/envelope biogenesis,A0A0H3K7L5,Op471,NC_007604.1,648710,649441,-
SYNPCC7942_RS03350,Synpcc7942_0654,SE_680,ycf4,photosystem I assembly protein,ycf,photosystem I assembly protein Ycf,SYNPCC7942_RS03350,photosystem I assembly protein Ycf4,Function unknown,Q31QI3,Op471,NC_007604.1,649443,650009,-
SYNPCC7942_RS03355,Synpcc7942_0655,SE_681,psbDI,Photosystem II D2 protein,psbD1,D2 protein,psbD,photosystem II D2 protein (photosystem q(a) protein),Energy production and conversion,P11005,Op472,NC_007604.1,650232,651290,+
SYNPCC7942_RS03360,Synpcc7942_0656,SE_682,psbC,Photosystem II reaction center protein,psbC,CP43,psbC,photosystem II reaction center protein CP43,Energy production and conversion,P11004,Op472,NC_007604.1,651274,652659,+
SYNPCC7942_RS03365,Synpcc7942_0657,SE_683,SE_683,protein of unknown function (DUF1815),SYNPCC7942_0657,conserved hypothetical protein,SYNPCC7942_RS03365,DUF1815 family protein,Function unknown,A0A0H3K4L9,Op473,NC_007604.1,653047,653388,-
SYNPCC7942_RS03370,Synpcc7942_0658,SE_684,SE_684,Protein of unknown function (DUF2839),SYNPCC7942_0658,conserved hypothetical protein,SYNPCC7942_RS03370,DUF2839 domain-containing protein,Function unknown,A0A0H3K1C0,Op474,NC_007604.1,653558,653770,-
SYNPCC7942_RS03375,Synpcc7942_0659,SE_685,SE_685,ATP-dependent DNA helicase DinG,SYNPCC7942_0659,Rad3-related DNA helicases-like,SYNPCC7942_RS03375,helicase,Transcription,UPI00003A0554,Op475,NC_007604.1,653854,655359,-
SYNPCC7942_RS03380,Synpcc7942_0660,SE_686,tyrA,arogenate dehydrogenase (NADP),tyrA,arogenate dehydrogenase,SYNPCC7942_RS03380,prephenate/arogenate dehydrogenase,Energy production and conversion,UPI000046005A,Op476,NC_007604.1,655417,656253,+
SYNPCC7942_RS03385,Synpcc7942_0661,SE_687,SE_687,hypothetical protein,SYNPCC7942_0661,conserved hypothetical protein,SYNPCC7942_RS03385,hypothetical protein,Function unknown,UPI000584AFB6,Op476,NC_007604.1,656192,657874,+
SYNPCC7942_RS03390,Synpcc7942_0662,SE_688,SE_688,FecR family protein,SYNPCC7942_0662,hypothetical protein,SYNPCC7942_RS03390,FecR domain-containing protein,Inorganic ion transport and metabolism,Q31QH5,Op477,NC_007604.1,657943,658857,+
SYNPCC7942_RS03395,Synpcc7942_0663,SE_689,cya2,adenylate/guanylate cyclase,SYNPCC7942_0663,putative adenylate guanylate cyclase,SYNPCC7942_RS03395,adenylate/guanylate cyclase domain-containing protein,Signal transduction mechanisms,A0A0H3K1B5,Op478,NC_007604.1,658977,660875,+
SYNPCC7942_RS03400,Synpcc7942_0664,SE_690,SE_690,Cyclic nucleotide-binding domain-containing protein,SYNPCC7942_0664,Cyclic nucleotide-binding,SYNPCC7942_RS03400,mechanosensitive ion channel,Cell wall/membrane/envelope biogenesis,Q31QH3,Op478,NC_007604.1,660875,662224,+
SYNPCC7942_RS03405,Synpcc7942_0665,SE_691,SE_691,creatinase,SYNPCC7942_0665,conserved hypothetical protein,SYNPCC7942_RS03405,creatininase family protein,Function unknown,A0A0H3K7K0,Op479,NC_007604.1,662232,662978,-
SYNPCC7942_RS03410,Synpcc7942_0666,SE_692,SE_692,DnaJ domain-containing protein,SYNPCC7942_0666,Heat shock protein DnaJ-like,SYNPCC7942_RS03410,J domain-containing protein,"Post-translational modification, protein turnover,and chaperones",A0A0H3K231,Op480,NC_007604.1,663141,663761,+
SYNPCC7942_RS03415,Synpcc7942_0667,SE_693,SE_693,hypothetical protein,SYNPCC7942_0667,conserved hypothetical protein,SYNPCC7942_RS03415,hypothetical protein,No COG annotation,A0A0H3K4K6,Op481,NC_007604.1,663985,664296,+
SYNPCC7942_RS03425,Synpcc7942_0669,SE_694,mpg,DNA-3-methyladenine glycosylase,mpg,DNA-3-methyladenine glycosylase,SYNPCC7942_RS03425,3-methyladenine DNA glycosylase,"Replication, recombination and repair",UPI000049BD9A,Op482,NC_007604.1,664525,665124,+
SYNPCC7942_RS03430,Synpcc7942_0670,SYNPCC7942_RS03430,SYNPCC7942_RS03430,SYNPCC7942_RS03430,pyrB,aspartate carbamoyltransferase,SYNPCC7942_RS03430,aspartate carbamoyltransferase catalytic subunit,Nucleotide transport and metabolism,Q31QG7,Op482,NC_007604.1,665121,666137,+
SYNPCC7942_RS03435,Synpcc7942_0671,SYNPCC7942_RS03435,SYNPCC7942_RS03435,SYNPCC7942_RS03435,SYNPCC7942_0671,conserved hypothetical protein,SYNPCC7942_RS03435,small multi-drug export protein,Function unknown,UPI0000460051,Op482,NC_007604.1,666159,666653,+
SYNPCC7942_RS03440,Synpcc7942_0672,SE_697,rpoD3,RNA polymerase sigma factor SigA3,rpoD3,group2 RNA polymerase sigma factor SigD,SYNPCC7942_RS03440,RNA polymerase sigma factor%2C RpoD/SigA family,Transcription,Q31QG5,Op483,NC_007604.1,666887,667849,+
SYNPCC7942_RS03445,Synpcc7942_0673,SYNPCC7942_RS03445,SYNPCC7942_RS03445,SYNPCC7942_RS03445,SYNPCC7942_0673,mutator mutT protein A/G-specific adenine glycosylase,mutY,A/G-specific adenine glycosylase,"Replication, recombination and repair",A0A0H3K7J2,Op483,NC_007604.1,667849,668931,+
SYNPCC7942_RS03450,Synpcc7942_0674,SE_699,hemF,coproporphyrinogen oxidase,hemF,Coproporphyrinogen oxidase,hemF,oxygen-dependent coproporphyrinogen oxidase,Coenzyme transport and metabolism,Q5N3S5,Op484,NC_007604.1,669272,670300,+
SYNPCC7942_RS03455,Synpcc7942_0675,SYNPCC7942_RS03455,SYNPCC7942_RS03455,SYNPCC7942_RS03455,SYNPCC7942_0675,conserved hypothetical protein,SYNPCC7942_RS03455,cofactor assembly of complex C subunit B,Function unknown,Q31QG2,Op485,NC_007604.1,670297,670818,-
SYNPCC7942_RS03460,Synpcc7942_0676,SYNPCC7942_RS03460,SYNPCC7942_RS03460,SYNPCC7942_RS03460,SYNPCC7942_0676,conserved hypothetical protein,SYNPCC7942_RS03460,hypothetical protein,Function unknown,Q31QG1,Op486,NC_007604.1,670914,672119,+
SYNPCC7942_RS03465,Synpcc7942_0677,SYNPCC7942_RS03465,pex,"Pex, transcriptional regulator, PadR family",pex,Pex monomer,SYNPCC7942_RS03465,helix-turn-helix transcriptional regulator,Transcription,Q31QG0,Op487,NC_007604.1,672082,672462,-
SYNPCC7942_RS03470,Synpcc7942_0678,SYNPCC7942_RS03470,SYNPCC7942_RS03470,SYNPCC7942_RS03470,rnd,ribonuclease D,SYNPCC7942_RS03470,ribonuclease D,"Replication, recombination and repair",A0A0H3K1F3,Op488,NC_007604.1,672767,673402,+
SYNPCC7942_RS03480,Synpcc7942_0679,SYNPCC7942_RS03480,SYNPCC7942_RS03480,SYNPCC7942_RS03480,rbp1,RNA-binding region RNP-1,SYNPCC7942_RS03480,RNA-binding protein,Function unknown,Q31QF8,Op489,NC_007604.1,673785,674108,+
