locus_tag,old_locus_tag,gene_name,cycbio_gene_name,cycbio_gene_product,gene_product,COG,uniprot,start,end,strand
SYNPCC7942_RS01915,Synpcc7942_0376,SYNPCC7942_RS01915,SYNPCC7942_0376,putative zinc protease protein,insulinase family protein,Function unknown,Q31RB1,370341,371867,-
SYNPCC7942_RS01920,Synpcc7942_0377,SYNPCC7942_RS01920,SYNPCC7942_0377,conserved hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K8M0,371868,372206,-
SYNPCC7942_RS01925,Synpcc7942_0378,SYNPCC7942_RS01925,SYNPCC7942_0378,Protein of unknown function DUF140,MlaE family lipid ABC transporter permease subunit,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0H3K2X4,372532,373326,+
SYNPCC7942_RS01930,Synpcc7942_0379,SYNPCC7942_RS01930,SYNPCC7942_0379,conserved hypothetical protein,DUF3119 family protein,Function unknown,Q31RA8,373380,373763,+
SYNPCC7942_RS01935,Synpcc7942_0380,SYNPCC7942_RS01935,SYNPCC7942_0380,conserved hypothetical protein,DUF3086 domain-containing protein,"Cell cycle control, cell division, chromosome partitioning",A0A0H3K281,373785,374828,+
SYNPCC7942_RS01940,,SYNPCC7942_RS01940,SYNPCC7942_RS01940,SYNPCC7942_RS01940,hypothetical protein,No COG annotation,UPI00004600EB,374813,375019,-
SYNPCC7942_RS01945,Synpcc7942_0381,SYNPCC7942_RS01945,SYNPCC7942_0381,conserved hypothetical protein,DUF2752 domain-containing protein,Function unknown,Q31RA6,375032,375346,-
SYNPCC7942_RS01950,Synpcc7942_0382,SYNPCC7942_RS01950,SYNPCC7942_0382,conserved hypothetical protein,TM2 domain-containing protein,Function unknown,A0A0H3K8L4,375456,375722,-
SYNPCC7942_RS01955,Synpcc7942_0383,SYNPCC7942_RS01955,SYNPCC7942_0383,hypothetical protein,hypothetical protein,Function unknown,Q31RA4,375762,376448,-
SYNPCC7942_RS01960,Synpcc7942_0384,SYNPCC7942_RS01960,SYNPCC7942_0384,hypothetical protein,hypothetical protein,Function unknown,Q31RA3,376527,377237,-
SYNPCC7942_RS01965,Synpcc7942_0385,chlP,chlP1,geranylgeranyl reductase,geranylgeranyl reductase,Energy production and conversion,UPI00004600E9,377321,378568,-
SYNPCC7942_RS01970,Synpcc7942_0386,yvcK,SYNPCC7942_0386,conserved hypothetical protein,YvcK family protein,Function unknown,A0A0H3K275,378981,380390,+
SYNPCC7942_RS01975,Synpcc7942_0387,tsaE,SYNPCC7942_0387,Protein of unknown function UPF0079,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE,Function unknown,A0A0H3K8L0,380395,380901,+
SYNPCC7942_RS01980,Synpcc7942_0388,SYNPCC7942_RS01980,SYNPCC7942_0388,probable glycosyltransferase,glycosyltransferase family 4 protein,Cell wall/membrane/envelope biogenesis,Q31R99,380870,381991,-
SYNPCC7942_RS01985,,SYNPCC7942_RS01985,SYNPCC7942_RS01985,SYNPCC7942_RS01985,hypothetical protein,No COG annotation,UPI00004600E5,382085,382285,+
SYNPCC7942_RS01990,Synpcc7942_0390,chrA,SYNPCC7942_0390,Chromate transporter,chromate efflux transporter,Inorganic ion transport and metabolism,A0A0H3K5A9,382303,383454,-
SYNPCC7942_RS01995,Synpcc7942_0391,SYNPCC7942_RS01995,SYNPCC7942_0391,conserved hypothetical protein,alpha/beta hydrolase,Function unknown,A0A0H3K271,383545,385125,-
SYNPCC7942_RS02000,Synpcc7942_0392,SYNPCC7942_RS02000,moeB,molybdopterin synthase adenylase,MltA domain-containing protein,Cell wall/membrane/envelope biogenesis,UPI0012DF80B3,385350,386699,-
SYNPCC7942_RS02005,Synpcc7942_0393,SYNPCC7942_RS02005,SYNPCC7942_0393,conserved hypothetical protein,DUF2993 domain-containing protein,Function unknown,Q31R94,386677,387357,+
SYNPCC7942_RS02010,Synpcc7942_0394,SYNPCC7942_RS02010,cdsA,phosphatidate cytidylyltransferase,phosphatidate cytidylyltransferase,Cell wall/membrane/envelope biogenesis,A0A0H3K2V7,387354,388220,-
SYNPCC7942_RS02015,Synpcc7942_0395,SYNPCC7942_RS02015,SYNPCC7942_0395,hypothetical protein,hypothetical protein,"Replication, recombination and repair",Q31R92,388494,389618,+
SYNPCC7942_RS02020,Synpcc7942_0396,SYNPCC7942_RS02020,purH,phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,Nucleotide transport and metabolism,Q31R91,389953,391494,+
SYNPCC7942_RS02025,Synpcc7942_0397,SYNPCC7942_RS02025,SYNPCC7942_0397,putative neutral invertase,flagellar biosynthesis protein FlgM,Carbohydrate transport and metabolism,Q31R90,391532,392923,+
SYNPCC7942_RS02030,Synpcc7942_0398,SYNPCC7942_RS02030,SYNPCC7942_0398,hypothetical protein,DUF4079 domain-containing protein,Function unknown,A0A0H3K8J8,392990,393448,+
SYNPCC7942_RS02035,Synpcc7942_0399,SYNPCC7942_RS02035,SYNPCC7942_0399,conserved hypothetical protein,MBL fold metallo-hydrolase,Function unknown,A0A0H3K2V2,393793,394545,-
SYNPCC7942_RS02040,Synpcc7942_0400,SYNPCC7942_RS02040,trpG,"Anthranilate synthase, component II",aminodeoxychorismate/anthranilate synthase component II,Amino acid transport and metabolism,A0A0H3K598,394579,395181,-
SYNPCC7942_RS02045,Synpcc7942_0401,SYNPCC7942_RS02045,dgkA,Diacylglycerol kinase,diacylglycerol kinase family protein,Cell wall/membrane/envelope biogenesis,A0A0H3K257,395246,395731,-
SYNPCC7942_RS02050,Synpcc7942_0402,ybeY,SYNPCC7942_0402,Protein of unknown function UPF0054,rRNA maturation RNase YbeY,"Translation, ribosomal structure and biogenesis",Q31R85,396872,397396,-
SYNPCC7942_RS02055,Synpcc7942_0403,SYNPCC7942_RS02055,SYNPCC7942_0403,conserved hypothetical protein,DUF3285 domain-containing protein,Function unknown,Q31R84,397398,397577,-
SYNPCC7942_RS02060,Synpcc7942_0404,SYNPCC7942_RS02060,prfB,peptide chain release factor 2,peptide chain release factor 2,No COG annotation,UPI0012DFBB83,397595,398644,-
SYNPCC7942_RS02065,Synpcc7942_0405,holA,holA,"DNA polymerase III, delta subunit",DNA polymerase III subunit delta,"Replication, recombination and repair",Q31R82,398870,399868,+
SYNPCC7942_RS02070,Synpcc7942_0406,SYNPCC7942_RS02070,SYNPCC7942_0406,conserved hypothetical protein,DUF4168 domain-containing protein,Function unknown,A0A0H3K2V0,399953,400354,+
SYNPCC7942_RS02075,Synpcc7942_0407,psaK,psaK,PsaK,photosystem I reaction center subunit PsaK,"Intracellular trafficking, secretion, and vesicular transport",A0A0H3K593,400429,400671,-
SYNPCC7942_RS02080,Synpcc7942_0408,SYNPCC7942_RS02080,trpF,Phosphoribosylanthranilate isomerase,phosphoribosylanthranilate isomerase,Amino acid transport and metabolism,Q31R79,400768,401421,+
SYNPCC7942_RS02085,Synpcc7942_0409,SYNPCC7942_RS02085,SYNPCC7942_0409,hypothetical protein,ribbon-helix-helix protein%2C CopG family,No COG annotation,Q31R78,401464,401748,-
SYNPCC7942_RS02090,Synpcc7942_0410,SYNPCC7942_RS02090,SYNPCC7942_0410,conserved hypothetical protein,BrnT family toxin,Function unknown,A0A0H3K252,401750,402022,-
SYNPCC7942_RS02095,Synpcc7942_0411,SYNPCC7942_RS02095,trpA,"tryptophan synthase, alpha subunit",tryptophan synthase subunit alpha,Amino acid transport and metabolism,Q31R76,402191,402991,-
SYNPCC7942_RS02100,Synpcc7942_0412,SYNPCC7942_RS02100,SYNPCC7942_0412,hypothetical protein,DUF3007 family protein,Function unknown,A0A0H3K253,403022,403351,-
SYNPCC7942_RS02105,,SYNPCC7942_RS02105,SYNPCC7942_RS02105,SYNPCC7942_RS02105,NAD(P)H-quinone oxidoreductase subunit L,Energy production and conversion,UPI000585A481,403352,403564,-
SYNPCC7942_RS02115,Synpcc7942_0414,SYNPCC7942_RS02115,SYNPCC7942_0414,conserved hypothetical protein,homocysteine biosynthesis protein,Function unknown,Q31R73,404016,405188,+
SYNPCC7942_RS02120,Synpcc7942_0415,SYNPCC7942_RS02120,SYNPCC7942_0415,conserved hypothetical protein,pentapeptide repeat-containing protein,Function unknown,A0A0H3K2U4,405168,406145,-
SYNPCC7942_RS02125,Synpcc7942_0416,SYNPCC7942_RS02125,SYNPCC7942_0416,conserved hypothetical protein,hypothetical protein,No COG annotation,UPI00005E2802,406389,406772,+
SYNPCC7942_RS02130,Synpcc7942_0417,SYNPCC7942_RS02130,SYNPCC7942_0417,ATPase,AAA family ATPase,"Post-translational modification, protein turnover,and chaperones",A0A0H3K249,406851,408359,+
SYNPCC7942_RS02135,Synpcc7942_0418,SYNPCC7942_RS02135,SYNPCC7942_0418,conserved hypothetical protein,DUF1257 domain-containing protein,Function unknown,A0A0H3K243,408494,408844,+
SYNPCC7942_RS02140,Synpcc7942_0419,bioB,bioB,biotin synthase,biotin synthase BioB,Coenzyme transport and metabolism,Q31R68,408941,409903,-
SYNPCC7942_RS02145,Synpcc7942_0420,SYNPCC7942_RS02145,SYNPCC7942_0420,conserved hypothetical protein,hypothetical protein,Coenzyme transport and metabolism,Q31R67,409951,411516,-
SYNPCC7942_RS02150,Synpcc7942_0421,SYNPCC7942_RS02150,SYNPCC7942_0421,hypothetical protein,MAPEG family protein,Function unknown,Q31R66,411548,411946,-
SYNPCC7942_RS02155,Synpcc7942_0422,SYNPCC7942_RS02155,SYNPCC7942_0422,conserved hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K586,412147,413289,+
SYNPCC7942_RS02160,Synpcc7942_0423,SYNPCC7942_RS02160,SYNPCC7942_0423,conserved hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K242,413396,413614,-
SYNPCC7942_RS02165,Synpcc7942_0424,psbA,psbA1,D1 protein,photosystem II q(b) protein,Energy production and conversion,P04996,413873,414955,+
SYNPCC7942_RS02170,Synpcc7942_0425,SYNPCC7942_RS02170,SYNPCC7942_0425,conserved hypothetical protein,DUF760 domain-containing protein,Function unknown,A0A0H3K237,415064,415441,-
SYNPCC7942_RS02175,Synpcc7942_0426,scpB,scpB,condensin subunit ScpB,SMC-Scp complex subunit ScpB,"Cell cycle control, cell division, chromosome partitioning",A0A0H3K8F8,415535,416086,-
SYNPCC7942_RS02180,Synpcc7942_0427,ccmA,SYNPCC7942_0427,ATPase,heme ABC exporter ATP-binding protein CcmA,Defense mechanisms,A0A0H3K2T4,416103,416951,-
SYNPCC7942_RS02185,Synpcc7942_0428,cimA,leuA1,2-isopropylmalate synthase,citramalate synthase,Amino acid transport and metabolism,A0A0H3K581,416982,418610,-
SYNPCC7942_RS02190,Synpcc7942_0429,SYNPCC7942_RS02190,SYNPCC7942_0429,conserved hypothetical protein,hypothetical protein,No COG annotation,UPI00003A061C,418681,419220,-
SYNPCC7942_RS02195,Synpcc7942_0430,SYNPCC7942_RS02195,dxs,deoxyxylulose-5-phosphate synthase,1-deoxy-D-xylulose-5-phosphate synthase,Nucleotide transport and metabolism,Q8GAA0,419382,421292,+
SYNPCC7942_RS02200,Synpcc7942_0431,SYNPCC7942_RS02200,SYNPCC7942_0431,conserved hypothetical protein,NAD(P)/FAD-dependent oxidoreductase,Energy production and conversion,UPI00004600CE,421289,422557,+
SYNPCC7942_RS02205,Synpcc7942_0432,SYNPCC7942_RS02205,dpdX,D-alanyl-D-alanine dipeptidase,M15 family metallopeptidase,Cell wall/membrane/envelope biogenesis,Q8GAA2,422547,423245,+
SYNPCC7942_RS02210,Synpcc7942_0433,SYNPCC7942_RS02210,SYNPCC7942_0433,conserved hypothetical protein,hypothetical protein,No COG annotation,Q8GMQ5,423632,424840,+
SYNPCC7942_RS02220,Synpcc7942_0434,SYNPCC7942_RS02220,SYNPCC7942_0434,conserved hypothetical protein,permease,Function unknown,A0A0H3K578,425057,426064,+
SYNPCC7942_RS02225,Synpcc7942_0435,SYNPCC7942_RS02225,SYNPCC7942_0435,conserved hypothetical protein,TIGR03943 family protein,Function unknown,A0A0H3K228,426075,426830,+
SYNPCC7942_RS02230,Synpcc7942_0436,SYNPCC7942_RS02230,SYNPCC7942_0436,hypothetical protein,hypothetical protein,Defense mechanisms,A0A0H3K227,426845,427150,+
SYNPCC7942_RS02235,,SYNPCC7942_RS02235,SYNPCC7942_RS02235,SYNPCC7942_RS02235,DUF2281 domain-containing protein,Function unknown,,427210,427446,+
SYNPCC7942_RS02240,Synpcc7942_0437,SYNPCC7942_RS02240,sel0033,putative glutathione peroxidase,glutathione peroxidase,Function unknown,Q8GMQ9,427463,428029,+
SYNPCC7942_RS13920,Synpcc7942_0438,SYNPCC7942_RS13920,SYNPCC7942_RS13920,SYNPCC7942_RS13920,hypothetical protein,No COG annotation,UPI00005E2803,427989,428495,+
SYNPCC7942_RS02245,Synpcc7942_0439,SYNPCC7942_RS02245,chlM,magnesium protoporphyrin O-methyltransferase,magnesium protoporphyrin IX methyltransferase,Coenzyme transport and metabolism,A0A0H3K2S4,428611,429300,-
SYNPCC7942_RS02250,Synpcc7942_0440,nagA,nagA,N-acetylglucosamine-6-phosphate deacetylase,N-acetylglucosamine-6-phosphate deacetylase,Carbohydrate transport and metabolism,Q8GMR2,429346,430560,-
SYNPCC7942_RS02255,Synpcc7942_0441,purE,pur6,"phosphoribosylaminoimidazole carboxylase, catalytic subunit",5-(carboxyamino)imidazole ribonucleotide mutase,Nucleotide transport and metabolism,A0A0H3K221,430523,431191,+
SYNPCC7942_RS02260,Synpcc7942_0442,amt,amt1,ammonium transporter,ammonium transporter,Inorganic ion transport and metabolism,Q31R45,431458,432951,+
SYNPCC7942_RS02265,Synpcc7942_0443,SYNPCC7942_RS02265,sek0027,conserved hypothetical protein,S-layer homology domain-containing protein,"Intracellular trafficking, secretion, and vesicular transport",A0A0H3K8D6,433076,434317,-
SYNPCC7942_RS02270,Synpcc7942_0444,SYNPCC7942_RS02270,sek0026,conserved hypothetical protein,TrbI/VirB10 family protein,"Intracellular trafficking, secretion, and vesicular transport",A0A0H3K2S0,434357,435040,-
SYNPCC7942_RS02275,Synpcc7942_0445,SYNPCC7942_RS02275,sek0025,ABC-type dipeptide/oligopeptide/nickel transport systems permease components-like,ABC transporter permease,Inorganic ion transport and metabolism,A0A0H3K569,435383,436438,-
SYNPCC7942_RS02280,Synpcc7942_0446,rpsN,rpsN,30S ribosomal subunit protein S14,30S ribosomal protein S14,"Translation, ribosomal structure and biogenesis",P52858,436519,436821,-
SYNPCC7942_RS02285,Synpcc7942_0447,nth,end3,endonuclease III,endonuclease III,"Replication, recombination and repair",A0A0H3K215,436851,437537,-
SYNPCC7942_RS02290,Synpcc7942_0448,rseP,SYNPCC7942_0448,"Peptidase M50, putative membrane-associated zinc metallopeptidase",RIP metalloprotease RseP,Cell wall/membrane/envelope biogenesis,A0A0H3K216,437534,438628,-
SYNPCC7942_RS02295,Synpcc7942_0449,serS,serS,seryl-tRNA synthetase,serine--tRNA ligase,"Translation, ribosomal structure and biogenesis",Q8GMR7,438675,439961,-
SYNPCC7942_RS02300,Synpcc7942_0450,SYNPCC7942_RS02300,sek0020,putative NifU-like protein,NifU family protein,"Post-translational modification, protein turnover,and chaperones",A0A0H3K2R5,440050,440295,-
SYNPCC7942_RS02305,Synpcc7942_0451,SYNPCC7942_RS02305,sel0019,esterase,esterase,Function unknown,A0A0H3K564,440670,441299,+
SYNPCC7942_RS02310,,SYNPCC7942_RS02310,SYNPCC7942_RS02310,SYNPCC7942_RS02310,DUF3155 domain-containing protein,Function unknown,UPI0006740DE3,441357,441728,-
SYNPCC7942_RS02315,Synpcc7942_0453,SYNPCC7942_RS02315,SYNPCC7942_0453,two-component sensor histidine kinase,GAF domain-containing protein,Signal transduction mechanisms,Q31R34,442022,443236,+
SYNPCC7942_RS02320,Synpcc7942_0454,SYNPCC7942_RS02320,cobS,cobalamin 5'-phosphate synthase,adenosylcobinamide-GDP ribazoletransferase,Coenzyme transport and metabolism,Q5N366,443217,443972,-
SYNPCC7942_RS02325,Synpcc7942_0455,tgt,tgt,Queuine tRNA-ribosyltransferase,tRNA guanosine(34) transglycosylase Tgt,Nucleotide transport and metabolism,Q8GAA6,444001,445155,+
SYNPCC7942_RS13675,Synpcc7942_0456,SYNPCC7942_RS13675,SYNPCC7942_RS13675,SYNPCC7942_RS13675,photosystem II reaction center protein K,Function unknown,A0A0D6KMJ1,445209,445346,+
SYNPCC7942_RS02330,Synpcc7942_0457,SYNPCC7942_RS02330,sel0013,conserved hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K2R0,445562,446179,+
SYNPCC7942_RS02335,Synpcc7942_0458,fghA,SYNPCC7942_0458,Carboxylesterase,S-formylglutathione hydrolase,Function unknown,A0A0H3K558,446215,447051,-
SYNPCC7942_RS02340,Synpcc7942_0459,SYNPCC7942_RS02340,SYNPCC7942_0459,glutathione-dependent formaldehyde dehydrogenase,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase,Energy production and conversion,A0A0H3K204,447057,448166,-
SYNPCC7942_RS02345,Synpcc7942_0460,SYNPCC7942_RS02345,SYNPCC7942_0460,putative acetyltransferase,GNAT family N-acetyltransferase,Transcription,A0A0H3K206,448306,448779,-
SYNPCC7942_RS02350,Synpcc7942_0461,SYNPCC7942_RS02350,SYNPCC7942_0461,conserved hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K8B8,448876,449313,-
SYNPCC7942_RS02355,Synpcc7942_0462,SYNPCC7942_RS02355,SYNPCC7942_0462,conserved hypothetical protein,DUF924 domain-containing protein,Function unknown,A0A0H3K2Q4,449370,449957,-
SYNPCC7942_RS02360,Synpcc7942_0463,SYNPCC7942_RS02360,SYNPCC7942_0463,protein tyrosine phosphatase,low molecular weight phosphotyrosine protein phosphatase,Signal transduction mechanisms,Q31R24,449957,450448,-
SYNPCC7942_RS02365,Synpcc7942_0464,SYNPCC7942_RS02365,SYNPCC7942_0464,conserved hypothetical protein,YbaB/EbfC family nucleoid-associated protein,Function unknown,Q5N376,450539,450880,-
SYNPCC7942_RS02370,Synpcc7942_0465,SYNPCC7942_RS02370,SYNPCC7942_0465,conserved hypothetical protein,DUF4079 domain-containing protein,Function unknown,A0A0H3K1Z9,451023,451748,-
SYNPCC7942_RS02375,Synpcc7942_0466,SYNPCC7942_RS02375,bcsA1,Cellulose synthase (UDP-forming),glycosyltransferase,Cell wall/membrane/envelope biogenesis,A0A0H3K200,451838,454087,+
SYNPCC7942_RS02380,Synpcc7942_0467,SYNPCC7942_RS02380,SYNPCC7942_0467,"Peptidase, metallopeptidases",matrixin family metalloprotease,"Post-translational modification, protein turnover,and chaperones",A0A0H3K8B2,454004,454837,-
SYNPCC7942_RS02385,Synpcc7942_0468,secG,secG,"preprotein translocase, SecG subunit",preprotein translocase subunit SecG,"Intracellular trafficking, secretion, and vesicular transport",A0A0H3K2P8,454806,455045,-
SYNPCC7942_RS02390,Synpcc7942_0469,SYNPCC7942_RS02390,pgmM,"phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent",2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase,Carbohydrate transport and metabolism,Q31R18,455066,456664,-
SYNPCC7942_RS02400,Synpcc7942_0470,SYNPCC7942_RS02400,SYNPCC7942_0470,conserved hypothetical protein,hypothetical protein,No COG annotation,UPI0012DC476E,457205,457744,+
SYNPCC7942_RS02405,Synpcc7942_0471,SYNPCC7942_RS02405,SYNPCC7942_0471,ABC-type sugar transport system permease component,carbohydrate ABC transporter permease,Inorganic ion transport and metabolism,A0A0H3K1Z2,457882,458712,+
SYNPCC7942_RS02410,Synpcc7942_0472,xseB,SYNPCC7942_0472,hypothetical protein,exodeoxyribonuclease VII small subunit,"Translation, ribosomal structure and biogenesis",Q31R15,458795,459019,+
SYNPCC7942_RS02415,Synpcc7942_0473,nemA,SYNPCC7942_0473,NADH:flavin oxidoreductases Old Yellow Enzyme family-like,alkene reductase,Energy production and conversion,Q31R14,459096,460202,+
SYNPCC7942_RS02420,Synpcc7942_0475,petN,petN,PetN,cytochrome b6-f complex subunit PetN,Energy production and conversion,Q31R12,460449,460553,-
SYNPCC7942_RS02425,,clpS2,SYNPCC7942_RS02425,SYNPCC7942_RS02425,ATP-dependent Clp protease adaptor ClpS2,Function unknown,UPI00005E2808,460552,460962,+
SYNPCC7942_RS02430,Synpcc7942_0477,SYNPCC7942_RS02430,SYNPCC7942_0477,conserved hypothetical protein YCF19,YggT family protein,Function unknown,UPI000049B66F,460994,461293,-
SYNPCC7942_RS02435,Synpcc7942_0478,lepB,lepB1,Thylakoidal processing peptidase,signal peptidase I,"Intracellular trafficking, secretion, and vesicular transport",A0A0H3K544,461324,461935,-
SYNPCC7942_RS02440,Synpcc7942_0479,lepA,lepA,LepA,elongation factor 4,"Translation, ribosomal structure and biogenesis",Q31R08,461935,463749,-
SYNPCC7942_RS02445,Synpcc7942_0480,SYNPCC7942_RS02445,SYNPCC7942_0480,GAF sensor signal transduction histidine kinase,GAF domain-containing protein,Signal transduction mechanisms,Q31R07,463901,465634,+
SYNPCC7942_RS02450,Synpcc7942_0481,SYNPCC7942_RS02450,SYNPCC7942_0481,protease,DUF1036 domain-containing protein,"Post-translational modification, protein turnover,and chaperones",UPI0005859FCE,465878,466828,+
SYNPCC7942_RS02455,Synpcc7942_0482,SYNPCC7942_RS02455,ftsI,penicillin-binding protein FtsI,penicillin-binding protein 2,Cell wall/membrane/envelope biogenesis,A0A0H3K8A0,467004,468773,-
SYNPCC7942_RS02460,Synpcc7942_0483,SYNPCC7942_RS02460,SYNPCC7942_0483,conserved hypothetical protein,hypothetical protein,Signal transduction mechanisms,A0A0H3K2N8,468776,469219,-
SYNPCC7942_RS02465,Synpcc7942_0484,SYNPCC7942_RS02465,SYNPCC7942_0484,conserved hypothetical protein,CPBP family intramembrane metalloprotease,Function unknown,Q31R03,469432,470874,-
SYNPCC7942_RS02470,Synpcc7942_0485,SYNPCC7942_RS02470,serB,phosphoserine phosphatase,histidine phosphatase family protein,Carbohydrate transport and metabolism,Q31R02,470975,472312,+
SYNPCC7942_RS02475,Synpcc7942_0486,SYNPCC7942_RS02475,pyrC1,dihydroorotase,dihydroorotase,Nucleotide transport and metabolism,A0A0H3K1Y4,472319,473554,+
SYNPCC7942_RS02480,Synpcc7942_0487,lepB,SYNPCC7942_0487,"Peptidase S26A, signal peptidase I",signal peptidase I,"Intracellular trafficking, secretion, and vesicular transport",A0A0H3K894,473510,474172,-
SYNPCC7942_RS02485,Synpcc7942_0488,SYNPCC7942_RS02485,pyrC2,"dihydroorotase, multifunctional complex type",dihydroorotase,Nucleotide transport and metabolism,A0A0H3K2N5,474316,475644,+
SYNPCC7942_RS02490,Synpcc7942_0489,SYNPCC7942_RS02490,aldA,aldehyde dehydrogenase,aldehyde dehydrogenase family protein,Energy production and conversion,A0A0H3K534,475665,477044,-
SYNPCC7942_RS02495,Synpcc7942_0490,SYNPCC7942_RS02495,SYNPCC7942_0490,diguanylate cyclase (GGDEF domain) with PAS/PAC sensor,diguanylate cyclase,Signal transduction mechanisms,UPI0005859EC0,477380,479440,+
SYNPCC7942_RS13925,Synpcc7942_0491,SYNPCC7942_RS13925,SYNPCC7942_RS13925,SYNPCC7942_RS13925,PilI type IV pilus biogenesis protein,No COG annotation,UPI0012DCDC53,479658,479837,+
SYNPCC7942_RS02505,Synpcc7942_0492,SYNPCC7942_RS02505,ribF,riboflavin biosynthesis protein RibF,bifunctional riboflavin kinase/FAD synthetase,Coenzyme transport and metabolism,A0A0H3K1Y1,479877,480824,-
SYNPCC7942_RS02510,Synpcc7942_0493,pap,SYNPCC7942_0493,conserved hypothetical protein,polyphosphate:AMP phosphotransferase,Function unknown,UPI00004600B6,480967,482451,+
SYNPCC7942_RS02515,Synpcc7942_0494,SYNPCC7942_RS02515,SYNPCC7942_0494,conserved hypothetical protein,RES family NAD+ phosphorylase,Function unknown,A0A0H3K2N0,482631,482984,-
SYNPCC7942_RS02520,Synpcc7942_0495,SYNPCC7942_RS02520,SYNPCC7942_0495,hypothetical protein,DUF2384 domain-containing protein,Signal transduction mechanisms,Q31QZ2,482981,483517,-
SYNPCC7942_RS02525,Synpcc7942_0496,SYNPCC7942_RS02525,SYNPCC7942_0496,hypothetical protein,class I SAM-dependent methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0H3K1W8,483634,484323,-
SYNPCC7942_RS02530,Synpcc7942_0498,SYNPCC7942_RS02530,cpsB,mannose-1-phosphate guanyltransferase,mannose-1-phosphate guanyltransferase,Carbohydrate transport and metabolism,A0A0H3K880,484585,487098,+
SYNPCC7942_RS02535,Synpcc7942_0499,SYNPCC7942_RS02535,SYNPCC7942_0499,conserved hypothetical protein,hydroxyneurosporene-O-methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",Q31QY8,487375,488370,-
SYNPCC7942_RS02540,Synpcc7942_0500,SYNPCC7942_RS02540,SYNPCC7942_0500,hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K524,488470,488823,-
SYNPCC7942_RS02545,Synpcc7942_0501,SYNPCC7942_RS02545,SYNPCC7942_0501,Nucleoside-diphosphate-sugar epimerases-like,SDR family oxidoreductase,Carbohydrate transport and metabolism,A0A0H3K1W2,488833,489483,-
SYNPCC7942_RS02550,Synpcc7942_0502,SYNPCC7942_RS02550,SYNPCC7942_0502,conserved hypothetical protein,GNAT family N-acetyltransferase,"Translation, ribosomal structure and biogenesis",A0A0H3K1X1,489508,490074,-
SYNPCC7942_RS02555,Synpcc7942_0503,SYNPCC7942_RS02555,SYNPCC7942_0503,hypothetical protein,TIGR03792 family protein,Function unknown,A0A0H3K872,490074,490382,-
SYNPCC7942_RS02560,Synpcc7942_0504,SYNPCC7942_RS02560,hemA,glutamyl-tRNA reductase,glutamyl-tRNA reductase,Coenzyme transport and metabolism,Q31QY3,490382,491698,-
SYNPCC7942_RS02565,Synpcc7942_0505,glpX,fbpI,FbpI monomer,class II fructose-bisphosphatase,Carbohydrate transport and metabolism,Q31QY2,491830,492867,-
SYNPCC7942_RS02570,Synpcc7942_0506,SYNPCC7942_RS02570,pyrH,Uridylate kinase,UMP kinase,Nucleotide transport and metabolism,UPI0005862941,493021,493749,+
SYNPCC7942_RS02575,Synpcc7942_0507,SYNPCC7942_RS02575,frr,ribosome recycling factor,ribosome recycling factor,"Translation, ribosomal structure and biogenesis",Q31QY0,493736,494284,+
SYNPCC7942_RS02580,Synpcc7942_0508,SYNPCC7942_RS02580,chlP2,geranylgeranyl reductase,geranylgeranyl reductase family protein,Energy production and conversion,A0A0H3K2J5,494291,495421,+
SYNPCC7942_RS02585,Synpcc7942_0509,SYNPCC7942_RS02585,SYNPCC7942_0509,conserved hypothetical protein,hypothetical protein,No COG annotation,Q31QX8,495460,495933,+
SYNPCC7942_RS02590,Synpcc7942_0510,SYNPCC7942_RS02590,mtnX,2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase,HAD-IB family phosphatase,Amino acid transport and metabolism,A0A0H3K1T0,495930,496580,-
SYNPCC7942_RS02595,Synpcc7942_0511,ccsB,ccsA,Cytochrome c biogenesis protein ccsA,c-type cytochrome biogenesis protein CcsB,"Post-translational modification, protein turnover,and chaperones",Q31QX6,496602,497579,-
SYNPCC7942_RS02600,Synpcc7942_0512,SYNPCC7942_RS02600,SYNPCC7942_0512,conserved hypothetical protein YCF84,LptF/LptG family permease,Function unknown,A0A0H3K1U5,497624,498808,-
SYNPCC7942_RS02605,Synpcc7942_0513,lptB,SYNPCC7942_0513,ATPase,LPS export ABC transporter ATP-binding protein,Function unknown,A0A0H3K834,498901,499629,-
