locus_tag,gene_name,start,end,strand,gene_product,uniprot,COG,KEGG_ko
SYNPCC7942_RS03525,SYNPCC7942_RS03525,682128,683747,+,DUF3352 domain-containing protein,A0A0H3K7I0,S,
SYNPCC7942_RS03530,SYNPCC7942_RS03530,683722,684060,+,winged helix-turn-helix transcriptional regulator,A0A0H3K211,K,K03892
SYNPCC7942_RS03535,SYNPCC7942_RS03535,684051,684884,-,CPBP family intramembrane metalloprotease,UPI0000460041,S,K07052
SYNPCC7942_RS03540,clpS,684868,685155,-,ATP-dependent Clp protease adapter ClpS,Q31QE7,S,K06891
SYNPCC7942_RS13620,SYNPCC7942_RS13620,685290,685634,+,hypothetical protein,Q31QE6,X,
SYNPCC7942_RS03550,SYNPCC7942_RS03550,685631,686185,-,alpha/beta hydrolase,A0A0H3K189,X,
SYNPCC7942_RS03555,SYNPCC7942_RS03555,686247,687080,-,HAD family hydrolase,UPI00005E2824,S,K01091
SYNPCC7942_RS03560,SYNPCC7942_RS03560,687133,688056,-,30S ribosomal protein S1,P46228,J,K02945
SYNPCC7942_RS03565,nrdR,688334,688840,-,transcriptional regulator NrdR,P46227,K,K07738
SYNPCC7942_RS03570,SYNPCC7942_RS03570,689050,689145,-,photosystem II reaction center protein T,Q31QE1,X,
SYNPCC7942_RS03575,psbB,689222,690748,-,photosystem II chlorophyll-binding protein CP47,A0A0H3K7H2,P,K02704
SYNPCC7942_RS03580,SYNPCC7942_RS03580,691085,691519,+,(2Fe-2S)-binding protein,A0A0H3K203,C,
SYNPCC7942_RS03585,SYNPCC7942_RS03585,691619,691726,+,photosystem II reaction center protein M,Q31QD8,S,K02714
SYNPCC7942_RS03590,SYNPCC7942_RS03590,691824,692657,-,universal stress protein,A0A0H3K4I3,T,
SYNPCC7942_RS03595,SYNPCC7942_RS03595,692799,693260,+,acyl-CoA thioesterase,A0A0H3K183,S,K07107
SYNPCC7942_RS03600,SYNPCC7942_RS03600,693257,694045,+,SAM-dependent chlorinase/fluorinase,Q31QD5,S,K22205
SYNPCC7942_RS03605,dprA,694072,695280,+,DNA-protecting protein DprA,UPI000046003B,L,K04096
SYNPCC7942_RS03610,vat,695313,695948,+,Vat family streptogramin A O-acetyltransferase,A0A0H3K1Z5,S,K18234
SYNPCC7942_RS03615,SYNPCC7942_RS03615,695935,696570,+,transglutaminase family protein,A0A0H3K4H5,E,
SYNPCC7942_RS03620,cbiT,696577,697191,-,precorrin-6Y C5%2C15-methyltransferase subunit CbiT,Q31QD1,H,"K00595,ko:K02191"
SYNPCC7942_RS03625,SYNPCC7942_RS03625,697172,698641,-,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,Q31QD0,E,K01582
SYNPCC7942_RS03630,SYNPCC7942_RS03630,698708,700459,+,AarF/ABC1/UbiB kinase family protein,A0A0H3K7F7,S,
SYNPCC7942_RS03635,SYNPCC7942_RS03635,700511,700840,+,hypothetical protein,A0A0H3K1Y7,E,
SYNPCC7942_RS03640,SYNPCC7942_RS03640,700843,701481,-,DUF3318 domain-containing protein,UPI00003A0526,S,
SYNPCC7942_RS03645,carB,701604,704897,+,carbamoyl-phosphate synthase large subunit,A0A0H3K169,F,K01955
SYNPCC7942_RS03650,SYNPCC7942_RS03650,705073,706350,-,S41 family peptidase,A0A0H3K1C4,M,K03797
SYNPCC7942_RS03655,ispG,706450,707673,-,(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase,Q31QC4,I,K03526
SYNPCC7942_RS03660,SYNPCC7942_RS03660,707744,709450,-,N-acetylmuramoyl-L-alanine amidase,A0A0H3K7E9,M,K01448
SYNPCC7942_RS03670,murA,709923,711179,+,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,UPI0008FF150D,M,K00790
SYNPCC7942_RS03680,SYNPCC7942_RS03680,711503,712546,+,tyrosine-type recombinase/integrase,UPI000049B791,L,
SYNPCC7942_RS03685,SYNPCC7942_RS03685,712522,712740,-,hypothetical protein,UPI000039FEFE,X,
SYNPCC7942_RS03695,SYNPCC7942_RS03695,713127,713651,-,dCTP deaminase,A0A0H3K162,F,
SYNPCC7942_RS03700,SYNPCC7942_RS03700,713678,714331,-,hypothetical protein,A0A0H3K1B7,X,
SYNPCC7942_RS03705,SYNPCC7942_RS03705,714328,714831,-,hypothetical protein,A0A0H3K7E1,X,
SYNPCC7942_RS03710,SYNPCC7942_RS03710,714824,715054,-,hypothetical protein,UPI000039FF03,X,
SYNPCC7942_RS03715,SYNPCC7942_RS03715,715051,715389,-,hypothetical protein,A0A0H3K1X0,X,
SYNPCC7942_RS03720,SYNPCC7942_RS03720,715386,715589,-,hypothetical protein,UPI000039FF04,X,
SYNPCC7942_RS03725,SYNPCC7942_RS03725,715592,715882,-,hypothetical protein,Q31QB6,X,
SYNPCC7942_RS03730,SYNPCC7942_RS03730,715943,717025,-,hypothetical protein,A0A0H3K4F2,X,
SYNPCC7942_RS03735,SYNPCC7942_RS03735,717138,717386,+,hypothetical protein,UPI000039FF07,X,
SYNPCC7942_RS03745,SYNPCC7942_RS03745,718004,718447,+,hypothetical protein,A0A0H3K1B2,X,
SYNPCC7942_RS03750,SYNPCC7942_RS03750,718666,720075,+,DEAD/DEAH box helicase family protein,A0A0H3K7D5,L,
SYNPCC7942_RS03755,SYNPCC7942_RS03755,720068,720430,+,VRR-NUC domain-containing protein,A0A0H3K1W5,S,
SYNPCC7942_RS03760,SYNPCC7942_RS03760,720423,722966,+,hypothetical protein,Q31QB0,L,K06919
SYNPCC7942_RS03765,SYNPCC7942_RS03765,723236,723781,+,hypothetical protein,A0A0H3K151,X,
SYNPCC7942_RS03770,SYNPCC7942_RS03770,723806,724411,+,hypothetical protein,A0A0H3K1A5,X,
SYNPCC7942_RS03775,SYNPCC7942_RS03775,724626,725165,+,hypothetical protein,A0A0H3K7C8,X,
SYNPCC7942_RS03780,SYNPCC7942_RS03780,725474,727354,+,phage terminase large subunit family protein,A0A0H3K1V8,S,
SYNPCC7942_RS03785,SYNPCC7942_RS03785,727482,727691,+,hypothetical protein,A0A0H3K4E1,X,
SYNPCC7942_RS03790,SYNPCC7942_RS03790,727691,729154,+,phage portal protein,A0A0H3K144,S,
SYNPCC7942_RS03795,SYNPCC7942_RS03795,729177,731051,+,hypothetical protein,A0A0H3K1A1,S,
SYNPCC7942_RS03800,SYNPCC7942_RS03800,731099,731428,+,DUF2190 family protein,A0A0H3K7C1,S,
SYNPCC7942_RS03805,SYNPCC7942_RS03805,731434,731745,+,hypothetical protein,A0A0H3K1V3,X,
SYNPCC7942_RS03810,SYNPCC7942_RS03810,731717,732376,+,hypothetical protein,UPI0012DFBAB2,X,
SYNPCC7942_RS03815,SYNPCC7942_RS03815,732373,732729,+,hypothetical protein,UPI000039FF17,X,
SYNPCC7942_RS13625,SYNPCC7942_RS13625,732710,733270,+,phage baseplate assembly protein V,Q31Q99,L,
SYNPCC7942_RS03825,SYNPCC7942_RS03825,733285,733536,+,PAAR domain-containing protein,UPI0005850D58,T,
SYNPCC7942_RS03830,SYNPCC7942_RS03830,733536,733880,+,phage baseplate protein,A0A0H3K195,X,
SYNPCC7942_RS03835,SYNPCC7942_RS03835,733877,734716,+,hypothetical protein,A0A0H3K7B3,S,
SYNPCC7942_RS03840,SYNPCC7942_RS03840,734713,735552,+,phage tail protein,A0A0H3K1U8,T,
SYNPCC7942_RS03845,SYNPCC7942_RS03845,735651,736136,+,hypothetical protein,A0A0H3K4C7,X,
SYNPCC7942_RS03850,SYNPCC7942_RS03850,736140,738155,+,DUF4815 domain-containing protein,Q31Q94,S,
SYNPCC7942_RS03855,SYNPCC7942_RS03855,738159,739610,+,hypothetical protein,Q31Q93,S,
SYNPCC7942_RS03860,SYNPCC7942_RS03860,739615,740778,+,phage tail protein,Q31Q92,S,
SYNPCC7942_RS03865,SYNPCC7942_RS03865,740782,741288,+,hypothetical protein,Q31Q91,X,
SYNPCC7942_RS03870,SYNPCC7942_RS03870,741396,742820,+,hypothetical protein,Q31Q90,S,K06907
SYNPCC7942_RS03875,SYNPCC7942_RS03875,742817,743320,+,phage major tail tube protein,Q31Q89,S,
SYNPCC7942_RS03880,SYNPCC7942_RS03880,743324,743614,+,phage tail assembly protein,Q31Q88,S,
SYNPCC7942_RS13935,SYNPCC7942_RS13935,743611,743748,+,hypothetical protein,UPI0002E921E0,X,
SYNPCC7942_RS03885,SYNPCC7942_RS03885,743738,746590,+,phage tail tape measure protein,Q31Q87,N,
SYNPCC7942_RS03890,SYNPCC7942_RS03890,746590,747510,+,phage tail protein,A0A0H3K799,S,
SYNPCC7942_RS03895,SYNPCC7942_RS03895,747510,747722,+,phage tail protein,A0A0H3K1T8,U,
SYNPCC7942_RS03900,SYNPCC7942_RS03900,747719,749161,+,late control protein D,Q31Q84,X,
SYNPCC7942_RS03910,SYNPCC7942_RS03910,749431,750009,+,DUF882 domain-containing protein,Q31Q82,S,
SYNPCC7942_RS03915,SYNPCC7942_RS03915,750009,750203,+,hypothetical protein,UPI000039FF2B,X,
SYNPCC7942_RS13940,SYNPCC7942_RS13940,750233,750409,+,hypothetical protein,UPI000039FF2C,X,
SYNPCC7942_RS03920,SYNPCC7942_RS03920,750406,750870,+,chain A%2C D20c mutant of T4 lysozyme,A0A0H3K177,S,
SYNPCC7942_RS03925,SYNPCC7942_RS03925,751142,751957,+,hypothetical protein,UPI0002DBAD35,X,
SYNPCC7942_RS13690,SYNPCC7942_RS13690,751959,752381,+,DUF488 domain-containing protein,Q31Q79,S,
SYNPCC7942_RS03930,SYNPCC7942_RS03930,752574,753953,+,hypothetical protein,Q31Q78,X,
SYNPCC7942_RS03935,SYNPCC7942_RS03935,753963,754553,+,hypothetical protein,Q31Q77,X,
SYNPCC7942_RS03940,SYNPCC7942_RS03940,754779,755507,-,hypothetical protein,A0A0H3K4A7,X,
SYNPCC7942_RS03950,SYNPCC7942_RS03950,756010,756561,-,SocA family protein,A0A0H3K110,K,
SYNPCC7942_RS03955,SYNPCC7942_RS03955,756989,757387,-,helix-turn-helix transcriptional regulator,UPI0002D43CE1,K,
SYNPCC7942_RS03960,SYNPCC7942_RS03960,757356,757595,-,helix-turn-helix transcriptional regulator,Q31Q73,K,
SYNPCC7942_RS13695,SYNPCC7942_RS13695,757687,757905,-,helix-turn-helix transcriptional regulator,UPI000306A978,K,
SYNPCC7942_RS03965,SYNPCC7942_RS03965,758049,758327,+,hypothetical protein,UPI000039FF2E,X,
SYNPCC7942_RS03970,SYNPCC7942_RS03970,758390,759037,+,DNA damage-inducible protein,A0A0H3K1S7,S,K14623
SYNPCC7942_RS13700,SYNPCC7942_RS13700,759048,759254,+,hypothetical protein,UPI0005853BC9,X,
SYNPCC7942_RS03975,SYNPCC7942_RS03975,759413,759847,+,hypothetical protein,UPI000039FF31,X,
SYNPCC7942_RS13950,SYNPCC7942_RS13950,759963,760139,+,hypothetical protein,UPI0012DD41A1,X,
SYNPCC7942_RS13955,SYNPCC7942_RS13955,760250,760447,+,hypothetical protein,UPI0002E76B63,X,
SYNPCC7942_RS03985,SYNPCC7942_RS03985,760486,761178,+,hypothetical protein,UPI000039FF32,H,
SYNPCC7942_RS03990,SYNPCC7942_RS03990,761226,762128,+,hypothetical protein,Q31Q68,X,
SYNPCC7942_RS03995,SYNPCC7942_RS03995,762159,763643,+,bifunctional metallophosphatase/5'-nucleotidase,Q31Q67,F,
SYNPCC7942_RS04000,SYNPCC7942_RS04000,763640,764854,-,glutathione S-transferase family protein,A0A0H3K1S1,O,K00799
SYNPCC7942_RS04005,SYNPCC7942_RS04005,764984,765577,-,hypothetical protein,A0A0H3K495,H,
SYNPCC7942_RS04010,SYNPCC7942_RS04010,765592,766140,-,GNAT family N-acetyltransferase,UPI000039FF37,K,
SYNPCC7942_RS04015,SYNPCC7942_RS04015,766216,767103,+,alpha/beta hydrolase,A0A0H3K159,I,K08680
SYNPCC7942_RS04020,SYNPCC7942_RS04020,767242,767721,-,divergent PAP2 family protein,A0A0H3K771,S,K09775
SYNPCC7942_RS04025,SYNPCC7942_RS04025,767721,768626,-,polyprenyl synthetase family protein,A0A0H3K1R4,H,K13789
SYNPCC7942_RS04030,folD,768669,769538,-,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD,Q31Q60,F,K01491
SYNPCC7942_RS04035,SYNPCC7942_RS04035,769574,770038,+,hypothetical protein,Q31Q59,X,
SYNPCC7942_RS04040,SYNPCC7942_RS04040,770044,772593,+,HDIG domain-containing protein,UPI000585A5FA,S,K07037
SYNPCC7942_RS04045,SYNPCC7942_RS04045,772585,773958,-,serine/threonine protein kinase,Q31Q57,K,
SYNPCC7942_RS04050,ppsA,774004,776520,-,phosphoenolpyruvate synthase,Q31Q56,H,K01007
SYNPCC7942_RS04055,SYNPCC7942_RS04055,776760,778556,-,ABC transporter ATP-binding protein,Q31Q55,V,K18890
SYNPCC7942_RS04060,SYNPCC7942_RS04060,778589,779245,-,ATP phosphoribosyltransferase,Q31Q54,F,K00765
SYNPCC7942_RS13710,SYNPCC7942_RS13710,779531,779848,+,hypothetical protein,A0A0H3K1Q7,X,
SYNPCC7942_RS04065,SYNPCC7942_RS04065,779778,781919,+,PBP1A family penicillin-binding protein,UPI0012DFA035,M,K05366
SYNPCC7942_RS04070,SYNPCC7942_RS04070,782076,782942,+,hypothetical protein,Q31Q51,X,
SYNPCC7942_RS04075,SYNPCC7942_RS04075,783007,783885,+,purple acid phosphatase,A0A0H3K146,S,
SYNPCC7942_RS04080,SYNPCC7942_RS04080,783954,784748,-,glutathione S-transferase family protein,A0A0H3K758,O,K00799
SYNPCC7942_RS04085,SYNPCC7942_RS04085,784844,785167,-,hypothetical protein,A0A0H3K1P9,X,
SYNPCC7942_RS04090,SYNPCC7942_RS04090,785282,785710,-,RNA-binding region RNP-1,Q31Q47,S,
SYNPCC7942_RS04095,SYNPCC7942_RS04095,785973,787211,-,CCA tRNA nucleotidyltransferase,Q31Q46,H,"K00970,ko:K00974"
SYNPCC7942_RS04100,SYNPCC7942_RS04100,787255,788490,-,MFS transporter,Q31Q45,E,
SYNPCC7942_RS04105,SYNPCC7942_RS04105,788593,789261,-,PspA/IM30 family protein,A0A0H3K752,K,K03969
SYNPCC7942_RS04110,SYNPCC7942_RS04110,789460,790233,-,PspA/IM30 family protein,A0A0H3K1N9,K,K03969
SYNPCC7942_RS04115,SYNPCC7942_RS04115,790436,791047,-,hypothetical protein,A0A0H3K472,X,
SYNPCC7942_RS04120,SYNPCC7942_RS04120,791175,791720,+,DUF721 domain-containing protein,Q31Q41,S,
SYNPCC7942_RS04125,SYNPCC7942_RS04125,792010,792270,+,hypothetical protein,UPI00005E2831,X,
SYNPCC7942_RS04130,ruvC,792319,792804,-,crossover junction endodeoxyribonuclease RuvC,Q31Q39,L,K01159
SYNPCC7942_RS04135,SYNPCC7942_RS04135,792810,794384,-,B12-binding domain-containing radical SAM protein,UPI000039FF50,C,
SYNPCC7942_RS04140,SYNPCC7942_RS04140,794455,795048,-,chorismate-binding protein,Q31Q37,H,
SYNPCC7942_RS04145,SYNPCC7942_RS04145,795207,795812,+,superoxide dismutase,P18655,C,K04564
SYNPCC7942_RS04150,SYNPCC7942_RS04150,795836,796504,+,hypothetical protein,UPI0009D6FAC9,C,
SYNPCC7942_RS04155,SYNPCC7942_RS04155,796507,797289,-,ABC transporter permease,A0A0H3K0W5,S,K01992
SYNPCC7942_RS04160,pdxA,797288,798349,+,4-hydroxythreonine-4-phosphate dehydrogenase PdxA,A0A0H3K125,H,K00097
SYNPCC7942_RS04165,SYNPCC7942_RS04165,798349,799095,+,MBL fold metallo-hydrolase,A0A0H3K738,S,
SYNPCC7942_RS04170,SYNPCC7942_RS04170,799095,799826,+,16S rRNA (uracil(1498)-N(3))-methyltransferase,A0A0H3K1M9,J,K09761
SYNPCC7942_RS04175,SYNPCC7942_RS04175,799840,800679,+,Rpn family recombination-promoting nuclease/putative transposase,A0A0H3K460,S,
SYNPCC7942_RS04180,SYNPCC7942_RS04180,800851,802980,-,HAD-IIB family hydrolase,Q31Q29,M,K00696
SYNPCC7942_RS04185,SYNPCC7942_RS04185,803199,804815,+,hypothetical protein,UPI0006744514,M,
SYNPCC7942_RS04190,SYNPCC7942_RS04190,804853,805086,+,hypothetical protein,Q31Q27,X,
SYNPCC7942_RS04195,SYNPCC7942_RS04195,805186,806769,+,sodium:proton antiporter,Q31Q26,P,K03316
SYNPCC7942_RS04200,SYNPCC7942_RS04200,806893,807813,+,J domain-containing protein,A0A0H3K1M5,O,
SYNPCC7942_RS04205,SYNPCC7942_RS04205,807839,809101,+,ATP phosphoribosyltransferase regulatory subunit,Q55267,E,K02502
SYNPCC7942_RS04210,SYNPCC7942_RS04210,809134,809358,+,ferredoxin family protein,A0A0H3K456,C,
SYNPCC7942_RS04215,SYNPCC7942_RS04215,809365,810096,+,ABC transporter ATP-binding protein,A0A0H3K0V2,E,"K01996,ko:K11958"
SYNPCC7942_RS04220,SYNPCC7942_RS04220,810181,812226,-,EAL domain-containing protein,Q31Q21,T,
SYNPCC7942_RS04225,SYNPCC7942_RS04225,812331,812723,-,transcriptional repressor,A0A0H3K721,P,K03711
SYNPCC7942_RS04230,purS,812955,813224,+,phosphoribosylformylglycinamidine synthase subunit PurS,Q31Q19,F,K01952
SYNPCC7942_RS04235,purQ,813221,813886,+,phosphoribosylformylglycinamidine synthase subunit PurQ,Q31Q18,F,K01952
SYNPCC7942_RS04240,SYNPCC7942_RS04240,813960,814394,+,hypothetical protein,Q31Q17,X,
SYNPCC7942_RS04245,SYNPCC7942_RS04245,814476,816077,+,peptide ABC transporter substrate-binding protein,A0A0H3K0U6,E,K02035
SYNPCC7942_RS04250,SYNPCC7942_RS04250,816064,817089,+,ABC transporter permease,A0A0H3K103,P,K02033
SYNPCC7942_RS04255,SYNPCC7942_RS04255,817171,818214,+,AI-2E family transporter,A0A0H3K713,S,
SYNPCC7942_RS04260,SYNPCC7942_RS04260,818189,819895,+,DUF2156 domain-containing protein,Q31Q13,S,
SYNPCC7942_RS04265,SYNPCC7942_RS04265,819956,820693,-,C40 family peptidase,UPI000049BE2E,M,
SYNPCC7942_RS04270,SYNPCC7942_RS04270,820693,821628,+,hypothetical protein,A0A0H3K0U0,V,
SYNPCC7942_RS04275,cobW,821757,822803,-,cobalamin biosynthesis protein CobW,Q31Q10,S,K02234
SYNPCC7942_RS04280,SYNPCC7942_RS04280,822873,823241,-,DUF2237 domain-containing protein,A0A0H3K708,S,K09966
SYNPCC7942_RS04285,SYNPCC7942_RS04285,823506,823838,+,lipoprotein-like,Q31Q08,M,
SYNPCC7942_RS04290,asnS,823942,825330,+,asparagine--tRNA ligase,Q31Q07,J,K01893
SYNPCC7942_RS04295,SYNPCC7942_RS04295,825403,826005,-,HD domain-containing protein,UPI000039FF6F,K,
SYNPCC7942_RS04300,SYNPCC7942_RS04300,826400,826624,-,IS5 family transposase,A0A0H3K0T3,L,
SYNPCC7942_RS04310,SYNPCC7942_RS04310,827112,828182,+,hypothetical protein,Q31Q05,X,
SYNPCC7942_RS04315,SYNPCC7942_RS04315,828576,829235,+,alpha/beta hydrolase,UPI0012DD2307,K,
SYNPCC7942_RS04320,ruvB,829661,830788,+,Holliday junction branch migration DNA helicase RuvB,Q31Q03,L,K03551
SYNPCC7942_RS04325,SYNPCC7942_RS04325,831166,832182,-,sll0787 family AIR synthase-like protein,Q31Q02,S,K07123
SYNPCC7942_RS04330,SYNPCC7942_RS04330,832179,832811,-,GNAT family N-acetyltransferase,UPI000039FF76,K,
SYNPCC7942_RS04335,SYNPCC7942_RS04335,832860,833957,-,MSMEG_0568 family radical SAM protein,Q31Q00,S,
SYNPCC7942_RS04340,SYNPCC7942_RS04340,833950,834954,-,Nit6803 family nitriliase,A0A0H3K0Y4,S,"K01501,ko:K01502"
SYNPCC7942_RS04345,SYNPCC7942_RS04345,834991,835473,-,MSMEG_0572 family nitrogen starvation response protein,Q31PZ8,S,
SYNPCC7942_RS04350,SYNPCC7942_RS04350,835671,837011,+,MSMEG_0569 family flavin-dependent oxidoreductase,A0A0H3K1I9,P,K07222
SYNPCC7942_RS04355,gor,837065,838405,-,glutathione-disulfide reductase,Q31PZ6,C,K00383
SYNPCC7942_RS04360,SYNPCC7942_RS04360,838504,838935,-,hypothetical protein,A0A0H3K0R9,X,
SYNPCC7942_RS04365,SYNPCC7942_RS04365,839099,839809,-,PHP domain-containing protein,Q31PZ4,S,
SYNPCC7942_RS04370,SYNPCC7942_RS04370,840263,841081,-,D-hexose-6-phosphate mutarotase,A0A0H3K1I3,G,K01792
SYNPCC7942_RS04375,SYNPCC7942_RS04375,841120,842232,-,PilT/PilU family type 4a pilus ATPase,A0A0H3K424,N,K02669
SYNPCC7942_RS04380,uvrA,842336,845347,-,excinuclease ABC subunit UvrA,A0A0H3K0R4,L,K03701
SYNPCC7942_RS13960,SYNPCC7942_RS13960,845474,845635,+,hypothetical protein,UPI000039FF81,X,
SYNPCC7942_RS04385,hemJ,845822,846409,-,protoporphyrinogen oxidase HemJ,A0A0H3K0W9,S,K08973
SYNPCC7942_RS04390,SYNPCC7942_RS04390,846479,846679,-,DUF2811 domain-containing protein,A0A0H3K6X9,S,
SYNPCC7942_RS04395,SYNPCC7942_RS04395,847233,848258,+,phosphoribosylformylglycinamidine cyclo-ligase,Q31PY7,F,K01933
SYNPCC7942_RS13715,SYNPCC7942_RS13715,848407,848883,+,transposase,A0A0H3K1H8,L,
SYNPCC7942_RS04400,SYNPCC7942_RS04400,848870,850105,+,LL-diaminopimelate aminotransferase,Q31PY6,H,K10206
SYNPCC7942_RS04405,SYNPCC7942_RS04405,850233,852629,+,hypothetical protein,Q31PY5,G,K17108
SYNPCC7942_RS13965,SYNPCC7942_RS13965,852745,852918,-,hypothetical protein,UPI0003078339,X,
SYNPCC7942_RS04410,SYNPCC7942_RS04410,853629,854882,+,response regulator,Q31PY4,T,K02657
SYNPCC7942_RS04415,SYNPCC7942_RS04415,854933,855295,+,response regulator,A0A0H3K0W3,T,K02658
SYNPCC7942_RS04420,SYNPCC7942_RS04420,855315,855821,+,purine-binding chemotaxis protein CheW,A0A0H3K6X2,N,K02659
SYNPCC7942_RS04425,SYNPCC7942_RS04425,855893,860113,+,GAF domain-containing protein,Q31PY1,T,K11525
SYNPCC7942_RS04430,SYNPCC7942_RS04430,860118,862976,+,response regulator,Q31PY0,T,"K06596,ko:K11526"
SYNPCC7942_RS04435,SYNPCC7942_RS04435,862987,863946,+,chemotaxis protein CheW,A0A0H3K0Q4,N,
SYNPCC7942_RS04440,SYNPCC7942_RS04440,864180,865469,-,bifunctional sterol desaturase/short chain dehydrogenase,A0A0H3K0V6,I,K20024
SYNPCC7942_RS04445,SYNPCC7942_RS04445,865596,865973,+,hypothetical protein,A0A0H3K6W3,X,
SYNPCC7942_RS04450,SYNPCC7942_RS04450,866027,867208,+,phosphotransacetylase family protein,UPI000039FF8F,C,K06873
SYNPCC7942_RS04455,SYNPCC7942_RS04455,867395,867913,+,hypothetical protein,A0A0H3K410,L,
SYNPCC7942_RS04460,SYNPCC7942_RS04460,867986,868477,+,YajQ family cyclic di-GMP-binding protein,Q31PX4,S,K09767
SYNPCC7942_RS04465,SYNPCC7942_RS04465,868540,869121,+,hypothetical protein,Q31PX3,X,
SYNPCC7942_RS04470,SYNPCC7942_RS04470,869229,869504,+,hypothetical protein,UPI00030811AB,S,
SYNPCC7942_RS04475,SYNPCC7942_RS04475,869505,871253,+,AarF/ABC1/UbiB kinase family protein,A0A0H3K6V3,S,
SYNPCC7942_RS04480,SYNPCC7942_RS04480,871262,871852,+,hypothetical protein,Q31PX0,L,
SYNPCC7942_RS04485,SYNPCC7942_RS04485,871886,872113,-,addiction module toxin%2C HicA family,A0A0H3K405,N,
SYNPCC7942_RS04490,SYNPCC7942_RS04490,872106,872315,-,type II toxin-antitoxin system HicB family antitoxin,UPI0002D40516,S,
SYNPCC7942_RS04495,SYNPCC7942_RS04495,872362,872940,+,hypothetical protein,A0A0H3K0U2,S,
SYNPCC7942_RS04500,SYNPCC7942_RS04500,873108,874196,-,DUF4062 domain-containing protein,A0A0H3K6U6,S,
SYNPCC7942_RS04505,SYNPCC7942_RS04505,874390,877449,-,DEAD/DEAH box helicase,Q31PW5,L,
SYNPCC7942_RS04510,SYNPCC7942_RS04510,877453,877896,-,hypothetical protein,UPI0012DD93B1,X,
SYNPCC7942_RS04515,alaS,878045,880675,+,alanine--tRNA ligase,Q31PW3,J,K01872
SYNPCC7942_RS04520,SYNPCC7942_RS04520,880867,883485,+,TIGR03960 family B12-binding radical SAM protein,A0A0H3K0N8,C,
SYNPCC7942_RS04525,SYNPCC7942_RS04525,883835,886261,+,Rne/Rng family ribonuclease,Q31PW1,J,K08300
SYNPCC7942_RS04530,SYNPCC7942_RS04530,886245,886892,+,ribonuclease HII,Q31PW0,L,K03470
SYNPCC7942_RS04535,SYNPCC7942_RS04535,886915,887472,-,DUF1997 domain-containing protein,A0A0H3K6T9,S,
SYNPCC7942_RS04540,pheA,887531,888427,+,prephenate dehydratase,UPI0012DDA79A,E,K04518
SYNPCC7942_RS04545,SYNPCC7942_RS04545,888440,889096,-,LON peptidase substrate-binding domain-containing protein,A0A0H3K3Z2,S,K01338
SYNPCC7942_RS04550,rpsJ,889306,889623,-,30S ribosomal protein S10,Q31PV6,J,K02946
SYNPCC7942_RS04555,tuf,889697,890926,-,elongation factor Tu,P18668,J,K02358
SYNPCC7942_RS04560,fusA,890953,893037,-,elongation factor G,P18667,J,K02355
SYNPCC7942_RS04565,rpsG,893112,893582,-,30S ribosomal protein S7,P18661,J,K02992
SYNPCC7942_RS04570,SYNPCC7942_RS04570,893750,894124,-,30S ribosomal protein S12,P63199,J,K02950
SYNPCC7942_RS04575,SYNPCC7942_RS04575,894280,894639,-,cupin domain-containing protein,A0A0H3K0N3,G,K01809
SYNPCC7942_RS04580,SYNPCC7942_RS04580,894636,896453,-,phosphodiester glycosidase family protein,Q31PV0,G,
SYNPCC7942_RS04585,gltB,896748,901358,+,glutamate synthase large subunit,Q31PU9,E,K00284
SYNPCC7942_RS04590,SYNPCC7942_RS04590,901736,902035,+,DUF1830 domain-containing protein,A0A0H3K1D9,S,
SYNPCC7942_RS04595,cofG,902109,903119,-,7%2C8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit CofG,Q31PU7,H,K11780
SYNPCC7942_RS04600,psbA,903201,904283,+,photosystem II q(b) protein,P04997,C,K02703
SYNPCC7942_RS04605,SYNPCC7942_RS04605,904845,905417,-,shikimate kinase,Q31PU5,F,K00891
SYNPCC7942_RS04610,SYNPCC7942_RS04610,905485,906657,-,hypothetical protein,A0A0H3K3Y6,C,
SYNPCC7942_RS04615,minD,906832,907638,+,septum site-determining protein MinD,A0A0H3K0M8,D,K03609
SYNPCC7942_RS04620,minE,907653,907928,+,cell division topological specificity factor MinE,Q31PU2,D,K03608
SYNPCC7942_RS04625,SYNPCC7942_RS04625,907925,908317,+,ferredoxin,Q31PU1,C,
SYNPCC7942_RS04635,SYNPCC7942_RS04635,908498,909295,-,hypothetical protein,Q31PU0,X,
SYNPCC7942_RS04640,SYNPCC7942_RS04640,909440,909643,-,hypothetical protein,A0A0H3K1D4,X,
SYNPCC7942_RS04645,SYNPCC7942_RS04645,909822,910676,+,alpha/beta fold hydrolase,UPI000585BCBD,I,
SYNPCC7942_RS04650,SYNPCC7942_RS04650,910735,911694,-,calcium-binding protein,A0A0H3K0M3,Q,
SYNPCC7942_RS04655,acnB,911756,914341,-,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,A0A0H3K0R7,C,K01682
SYNPCC7942_RS04660,SYNPCC7942_RS04660,914613,915158,+,hypothetical protein,Q31PT5,X,
